pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
0,58.0,6.4,0.11407092326346777,0.1024,0.27790330175572137,0.1024,0.1024,297312.0,131232.0,116.0,68.0,213.0,73.0,0.0,0.0
1,53.6,5.65,0.22394620467296977,0.2028499741235547,0.1788493872806009,0.2028499741235547,0.1024,275136.0,116512.0,230.0,173.0,148.0,133.0,21.0,0.0
2,64.0,11.6,0.27790330175572137,0.2300713054016148,0.23215000996264873,0.21798417016794858,0.1820958115879857,328064.0,238080.0,286.0,218.0,209.0,179.0,188.0,0.0
3,73.4,15.0,0.27050478800753586,2.8294772515375515,0.7818302262664546,0.1024,0.1024,376192.0,307648.0,291.0,2997.0,1054.0,272.0,15.0,0.0
4,40.0,9.15,0.10615121187202028,0.18707627191715065,0.14283387109577214,0.16055079360788177,0.1024,205536.0,188032.0,109.0,136.0,100.0,68.0,0.0,0.0
5,48.8,3.9,0.1024,0.2517241926574282,0.137786353469435,0.17566084058551082,0.1024,250496.0,80672.0,18.0,189.0,105.0,81.0,72.0,0.0
6,73.2,9.6,0.20653205040438585,0.18046529951454654,0.24723642585667988,0.1024,0.1024,374880.0,197344.0,212.0,160.0,194.0,66.0,0.0,0.0
7,53.4,7.85,0.1024,0.4279506660531507,0.19392942359868295,0.16643223934073492,0.1024,273856.0,161632.0,103.0,391.0,182.0,103.0,0.0,0.0
8,56.6,5.3,0.1052007186615606,0.5077061879485087,0.24282866745975348,0.14674048719226498,0.1024,290336.0,108928.0,109.0,485.0,239.0,111.0,0.0,0.0
9,39.0,3.85,0.1024,0.10711029283125797,0.13903125935157085,0.21409792422694074,0.1024,200512.0,79648.0,48.0,44.0,97.0,121.0,86.0,0.0
10,40.8,2.65,0.1024,0.1024,0.27541491564288445,0.11103405652348632,0.1024,209472.0,55040.0,74.0,37.0,211.0,92.0,94.0,0.0
11,58.8,3.95,0.1024,0.23424749571260373,0.13054754424534865,0.14542655177583327,0.1024,302048.0,81696.0,32.0,172.0,89.0,45.0,2.0,0.0
12,34.6,3.2,0.1024,0.14283387109577214,0.1024,0.3296950726913412,0.19047202834506569,177504.0,65664.0,0.0,54.0,0.0,171.0,196.0,0.0
13,53.0,10.9,0.1402874130141752,0.5758375169949175,0.2450226353590413,0.22801121386003648,0.1024,272000.0,223232.0,146.0,558.0,267.0,196.0,49.0,0.0
14,111.4,8.4,0.1024,0.1024,0.20653205040438585,0.10711029283125797,0.23215000996264873,570976.0,172224.0,47.0,0.0,137.0,49.0,240.0,0.0
15,27.8,2.9,0.1024,0.15487718863980784,0.1494040796805694,0.1634650669350853,0.1024,143264.0,59584.0,0.0,88.0,102.0,74.0,0.0,0.0
16,45.2,4.25,0.1024,0.11003984162010291,0.24947021805073416,0.1024,0.1024,231520.0,87040.0,0.0,59.0,180.0,35.0,101.0,0.0
17,58.8,6.8,0.11304951581874152,0.5122933361229038,0.19392942359868295,0.23424749571260373,0.1024,301088.0,139552.0,118.0,480.0,208.0,174.0,75.0,0.0
18,44.6,8.1,0.1024,0.7542016125657375,0.4598791358760376,0.1024,0.2102809627092118,228416.0,166528.0,93.0,769.0,479.0,172.0,217.0,0.0
19,48.4,9.5,0.14155491608144893,0.22194095816380596,0.22194095816380596,0.23215000996264873,0.11003984162010291,248320.0,195168.0,145.0,189.0,201.0,188.0,113.0,0.0
20,59.6,7.6,0.18374105541112293,1.64941981144854,0.5077061879485087,0.13291720693948222,0.1024,306016.0,156512.0,197.0,1716.0,651.0,248.0,63.0,0.0
21,63.2,7.35,0.1024,0.4318172195108682,0.1024,0.24065434466442132,0.1024,324512.0,150528.0,6.0,365.0,95.0,123.0,35.0,0.0
22,49.6,6.35,0.1024,0.1024,0.1725291396542299,0.20653205040438585,0.1024,254176.0,130720.0,68.0,0.0,124.0,133.0,19.0,0.0
23,53.6,5.65,0.1024,0.16494198114485398,0.2028499741235547,0.1024,0.1740879481674622,274720.0,116256.0,0.0,108.0,139.0,4.0,180.0,0.0
24,49.2,6.5,0.1024,0.6132586838954456,0.20103362629533755,0.1788493872806009,0.15211602095849217,252000.0,133120.0,24.0,574.0,216.0,121.0,157.0,0.0
25,45.2,10.85,0.12368903653634912,0.2959630243862989,0.1921929516622048,0.2102809627092118,0.10905452905988393,231456.0,222784.0,127.0,258.0,174.0,148.0,112.0,0.0
26,48.4,4.7,0.11719085064164587,0.11304951581874152,0.27050478800753586,0.12593420550714696,0.1024,248576.0,96544.0,120.0,82.0,216.0,106.0,86.0,0.0
27,50.4,6.55,0.15911319872255733,0.1024,0.3267429356164207,0.1740879481674622,0.12039611043028081,258208.0,134848.0,163.0,1.0,271.0,187.0,124.0,0.0
28,59.6,8.6,0.1024,0.4279506660531507,0.22801121386003648,0.19744957652881365,0.11003984162010291,305568.0,176128.0,26.0,388.0,225.0,154.0,113.0,0.0
29,37.2,6.55,0.16945327103418178,0.6472636331527855,0.28808371352153866,0.1270720267009761,0.1024,190912.0,135104.0,176.0,644.0,300.0,117.0,58.0,0.0
30,77.8,14.6,0.3040578404559338,0.22801121386003648,0.23215000996264873,0.16793596208624098,0.1353298830914057,398720.0,299136.0,314.0,219.0,197.0,126.0,140.0,0.0
31,49.0,3.55,0.10425873630394183,0.2300713054016148,0.13903125935157085,0.23215000996264873,0.14542655177583327,251296.0,73088.0,107.0,179.0,116.0,140.0,150.0,0.0
32,42.4,9.15,0.30957701376212127,0.978968474721595,0.46822673397445747,0.1024,0.1024,217536.0,188032.0,324.0,1037.0,520.0,188.0,41.0,0.0
33,57.2,11.9,0.32091772635322535,0.2586090426959236,0.2586090426959236,0.14155491608144893,0.1024,293696.0,244384.0,332.0,259.0,224.0,115.0,97.0,0.0
34,67.0,17.7,0.24065434466442132,0.1024,0.36398308921465733,0.14155491608144893,0.1024,343648.0,363232.0,247.0,0.0,302.0,175.0,13.0,0.0
35,99.2,18.7,0.21603230857279196,0.6023254401225595,0.2959630243862989,0.1024,0.1024,507936.0,383872.0,225.0,607.0,291.0,67.0,95.0,0.0
36,49.4,8.7,0.21995366692014168,0.4516803596815303,0.20653205040438585,0.2804141705486706,0.24947021805073416,253216.0,178176.0,228.0,436.0,222.0,227.0,257.0,0.0
37,52.8,5.45,0.1024,0.1024,0.15911319872255733,0.17098428893650555,0.1024,270880.0,112256.0,62.0,17.0,105.0,88.0,71.0,0.0
