pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
0,70.0,18.0,0.4598791358760376,0.2102809627092118,0.23215000996264873,0.11719085064164587,0.4598791358760376,358464.0,369440.0,474.0,223.0,186.0,75.0,476.0,0.0
1,36.2,4.6,28.294772515375513,0.1024,1.1824967523220051,0.1024,0.46403416449032375,185632.0,94816.0,29152.0,3393.0,1034.0,437.0,479.0,0.0
2,44.4,3.2,9.702026502711044,0.1024,0.46403416449032375,0.17724794415708725,0.5758375169949175,227808.0,66208.0,10057.0,1272.0,407.0,268.0,593.0,0.0
3,123.4,37.15,0.27294881089701023,0.22394620467296977,0.18876651442269293,0.24947021805073416,0.516921929386749,632096.0,761440.0,282.0,205.0,170.0,185.0,531.0,0.0
4,34.2,4.25,30.95770137621213,0.1024,1.341181198643804,0.1024,0.37393830630895386,175456.0,87680.0,31936.0,3793.0,1176.0,429.0,387.0,0.0
5,40.8,4.05,20.83980767409856,0.1024,0.9110006915275092,0.1024,0.476725855350575,209792.0,83744.0,21536.0,2383.0,770.0,341.0,492.0,0.0
6,34.6,3.6,15.487718863980785,0.1024,0.6955545671736807,0.1024,0.596932131546734,178048.0,74656.0,16032.0,1868.0,597.0,308.0,616.0,0.0
7,42.0,5.55,1.052007186615606,0.3511205164620939,1.2148389468675425,0.33267388245711177,1.3655259465352438,215264.0,114560.0,1081.0,617.0,1265.0,857.0,1411.0,0.0
8,50.8,5.6,0.21798417016794858,0.1788493872806009,0.1052007186615606,0.17098428893650555,0.586289959358298,260224.0,114816.0,223.0,136.0,62.0,58.0,604.0,0.0
9,37.4,4.85,19.04720283450657,0.1024,0.9192316236260498,0.1024,0.503160113758275,191840.0,99488.0,19767.0,2269.0,819.0,451.0,519.0,0.0
10,111.0,21.85,0.27790330175572137,0.21218086063659222,0.20653205040438585,0.2102809627092118,0.4724571835118812,568832.0,448480.0,287.0,196.0,179.0,156.0,489.0,0.0
11,81.4,48.9,0.6132586838954456,0.36727169274724036,0.37059000896020594,0.2906865627912965,0.596932131546734,417152.0,1002272.0,630.0,429.0,384.0,331.0,615.0,0.0
12,53.0,4.0,0.3180441828991698,0.1024,0.21798417016794858,0.23215000996264873,0.6077674774832115,271424.0,82656.0,327.0,24.0,174.0,184.0,628.0,0.0
13,35.8,4.65,0.586289959358298,0.1788493872806009,0.27050478800753586,0.21603230857279196,0.46822673397445747,183968.0,95392.0,603.0,215.0,243.0,199.0,485.0,0.0
14,74.4,38.95,0.5122933361229038,0.1788493872806009,0.22394620467296977,0.3013352628438305,0.3911390770466473,380992.0,798336.0,527.0,196.0,212.0,260.0,403.0,0.0
15,46.2,4.45,14.940407968056942,0.1024,0.7474483829094829,0.1024,0.4598791358760376,237248.0,91360.0,15446.0,1535.0,609.0,279.0,476.0,0.0
16,39.6,3.7,27.294881089701022,0.1024,1.203961104302808,0.1024,0.476725855350575,202848.0,76480.0,28288.0,3089.0,1001.0,303.0,493.0,0.0
17,42.0,3.15,12.70720267009761,0.1024,0.6770370828712772,0.1024,0.3542929060730811,215648.0,65440.0,13162.0,1429.0,552.0,204.0,364.0,0.0
18,42.0,3.4,4.94189719494033,0.1024,0.33267388245711177,0.1024,0.5358582934338506,215232.0,70240.0,5104.0,621.0,256.0,103.0,551.0,0.0
19,94.6,43.5,0.3982389247263045,0.19047202834506569,0.36727169274724036,0.21798417016794858,0.5077061879485087,485056.0,891328.0,410.0,217.0,344.0,256.0,523.0,0.0
20,44.6,4.45,32.38172324012421,0.1024,1.2593420550714698,0.1024,0.4598791358760376,228832.0,91968.0,33440.0,3565.0,1042.0,383.0,476.0,0.0
21,41.6,3.5,23.00713054016148,0.1024,1.0057440145285508,0.1024,0.42411873427091507,213696.0,71808.0,23872.0,2500.0,846.0,388.0,436.0,0.0
22,39.0,5.6,9.028434603781847,0.1024,0.48537925041276075,0.12368903653634912,0.46403416449032375,199936.0,114976.0,9316.0,1157.0,415.0,225.0,480.0,0.0
23,76.4,39.3,0.42411873427091507,0.29863706358303954,0.33267388245711177,0.25629342015227985,0.5215923421982858,391200.0,805312.0,439.0,325.0,328.0,275.0,536.0,0.0
24,28.0,4.85,20.28499741235547,0.1024,0.7960217909645065,0.1024,0.3876367615240837,144000.0,99904.0,20928.0,2224.0,645.0,256.0,401.0,0.0
25,34.0,4.45,31.519636956627703,0.1024,1.2148389468675425,0.1024,0.3387124861943804,174752.0,92064.0,32576.0,3481.0,1033.0,497.0,348.0,0.0
26,27.2,4.45,10.905452905988394,0.1024,0.570681385090446,0.1024,0.4598791358760376,139296.0,91200.0,11241.0,1593.0,507.0,195.0,474.0,0.0
27,35.6,6.0,24.06543446644213,0.1024,0.9529057699120118,0.1024,0.37393830630895386,183104.0,123296.0,24857.0,2854.0,837.0,464.0,385.0,0.0
28,44.2,3.9,24.06543446644213,0.1024,1.024,0.1024,0.41655749847890405,226880.0,80544.0,24832.0,2812.0,852.0,236.0,431.0,0.0
29,83.0,31.35,0.455761311985254,0.22596956867426202,0.268082649250345,0.3267429356164207,0.3807259303848422,424992.0,642112.0,469.0,244.0,267.0,310.0,392.0,0.0
30,38.8,4.25,0.157688476268492,0.1024,0.1024,0.2300713054016148,0.36727169274724036,199488.0,87072.0,161.0,0.0,0.0,86.0,377.0,0.0
31,92.6,41.6,0.7018389338777684,0.3238172324012421,0.40546764686528436,0.2384994910679599,0.41655749847890405,474336.0,852672.0,727.0,404.0,404.0,298.0,431.0,0.0
32,69.8,18.6,0.22801121386003648,0.1024,0.36727169274724036,0.1024,0.4598791358760376,357472.0,381856.0,233.0,68.0,300.0,112.0,474.0,0.0
33,33.8,5.5,22.394620467296978,0.1024,1.0057440145285508,0.1024,0.46822673397445747,173184.0,112640.0,23072.0,2474.0,847.0,365.0,484.0,0.0
34,40.0,3.0,0.1024,0.1024,0.21798417016794858,0.12937860276781757,0.49418971949403295,204960.0,62272.0,69.0,17.0,155.0,78.0,510.0,0.0
35,42.2,4.4,0.21798417016794858,0.1270720267009761,0.14542655177583327,0.1634650669350853,0.42411873427091507,216544.0,90912.0,223.0,89.0,95.0,73.0,436.0,0.0
36,96.2,25.55,0.5358582934338506,0.30957701376212127,0.3013352628438305,0.22194095816380596,0.6590125825000742,492672.0,523872.0,551.0,348.0,290.0,221.0,679.0,0.0
37,72.8,31.05,0.40546764686528436,0.27541491564288445,0.3013352628438305,0.16494198114485398,0.44362775217754097,373184.0,636096.0,417.0,295.0,276.0,164.0,457.0,0.0
38,45.0,4.8,24.06543446644213,0.1024,1.0148309567988336,0.1024,0.36727169274724036,230688.0,98464.0,24971.0,2777.0,877.0,452.0,377.0,0.0
39,33.6,5.55,21.028096270921175,0.1024,0.7748296060314792,0.1024,0.31237405596334344,172448.0,113728.0,21728.0,2302.0,633.0,335.0,321.0,0.0
40,50.2,4.6,35.11205164620939,0.1024,1.402874130141752,0.1024,0.526304952399003,257440.0,95104.0,36160.0,4230.0,1257.0,621.0,541.0,0.0
41,56.6,4.0,0.1740879481674622,0.11510155917025851,0.17724794415708725,0.1024,0.5358582934338506,289792.0,82304.0,179.0,76.0,108.0,2.0,552.0,0.0
42,49.2,6.05,25.629342015227984,0.1024,1.0711029283125797,0.1024,0.6187995036038481,252832.0,124288.0,26560.0,2923.0,887.0,261.0,641.0,0.0
43,43.4,3.25,0.21995366692014168,0.15487718863980784,0.1820958115879857,0.1317270471615462,0.46822673397445747,222720.0,66880.0,225.0,124.0,129.0,60.0,484.0,0.0
44,39.2,4.35,8.631399270691388,0.1024,0.3807259303848422,0.1921929516622048,0.28294772515375516,201376.0,89312.0,8912.0,932.0,302.0,236.0,291.0,0.0
