,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
83,190,110,6,29,75,59,50,194976,112864,110,89,156,115,166,0
84,166,83,0,19,35,54,0,170560,85536,32,57,90,73,4,0
85,204,74,0,5,67,32,11,209888,76352,0,46,131,69,116,0
86,147,109,0,36,21,86,47,150688,111904,71,80,87,121,161,0
87,369,1023,123,55,102,34,37,377856,1048544,317,162,209,110,147,0
88,459,661,0,0,77,51,49,470944,677536,73,37,151,105,164,0
89,188,70,0,0,47,17,0,192544,71712,55,28,92,33,76,0
90,163,106,93,24,145,46,95,167008,108768,242,131,334,196,247,0
91,204,64,275,0,90,59,56,208928,66240,1248,193,179,131,175,0
92,180,83,17,87,10,81,68,184320,85056,123,169,83,104,194,0
93,319,229,112,0,51,58,0,326912,235328,287,69,111,91,35,0
94,245,75,295,0,101,74,0,251008,77056,1493,191,205,171,98,0
95,166,81,0,46,0,98,73,170688,83168,86,80,0,95,203,0
96,158,102,0,81,10,88,0,162656,104672,85,153,85,119,81,0
97,492,1023,187,64,94,0,0,503872,1048544,566,207,172,0,74,0
98,130,61,128,6,171,24,148,134112,62848,333,140,426,223,400,0
99,156,152,69,0,48,30,44,160640,156640,195,0,91,49,157,0
100,184,68,96,57,0,107,13,188960,70304,249,120,16,122,119,0
101,155,157,55,60,40,61,0,158752,160768,173,132,105,87,99,0
102,481,888,80,54,25,17,144,493472,909984,215,125,73,17,385,0
103,510,1023,160,70,111,76,0,522272,1048544,446,209,248,189,81,0
104,192,53,0,0,43,37,0,197536,54432,64,35,93,55,79,0
105,461,538,11,51,58,22,0,472672,551776,116,115,120,49,45,0
106,178,63,354,0,94,13,1,182496,65120,2556,262,162,75,106,0
107,174,51,175,24,87,69,40,178976,53184,507,140,182,145,151,0
108,193,98,242,0,107,63,66,197664,100896,928,101,213,160,191,0
109,210,1023,0,0,0,119,49,215648,1048544,73,20,0,145,164,0
110,236,886,0,21,33,16,78,241664,907680,18,57,77,21,212,0
111,127,79,13,1,56,72,0,130176,81280,117,55,124,120,93,0
112,138,65,71,14,112,26,108,142112,66912,198,97,227,115,280,0
113,165,63,0,46,0,86,0,169504,65408,0,72,15,80,92,0
114,172,115,0,0,40,114,38,176864,118720,12,15,117,200,149,0
115,290,107,284,0,48,95,7,297664,110560,1359,170,116,159,112,0
116,418,369,0,37,2,121,30,428192,378432,86,80,84,194,138,0
117,192,106,0,46,0,102,23,196704,109216,0,80,73,144,130,0
118,356,316,110,72,29,55,0,365184,323968,283,165,92,70,48,0
119,160,212,142,58,76,102,36,163872,217920,377,166,180,201,146,0
120,367,645,61,34,0,115,0,376192,661312,182,88,74,175,78,0
121,167,95,0,52,27,78,55,171744,97792,92,107,93,108,173,0
122,413,693,51,75,61,116,40,423136,710368,166,164,164,221,151,0
123,175,95,287,0,63,71,89,179520,97568,1389,171,128,124,235,0
124,156,61,335,0,1,91,0,159904,63296,2140,274,59,120,98,0
125,129,224,0,0,68,56,0,132416,229664,14,0,133,104,94,0
126,169,63,95,49,19,107,0,173088,65472,248,121,96,166,53,0
127,214,58,262,7,53,106,0,219872,60384,1119,193,134,188,78,0
128,146,74,22,79,63,23,0,149984,76704,128,167,133,53,23,0
129,235,69,357,0,109,52,15,241056,70816,2621,319,213,145,121,0
130,144,60,0,0,24,41,0,148000,62240,6,0,66,46,97,0
131,536,1023,31,25,61,32,178,549472,1048544,139,84,122,63,524,0
132,197,77,26,38,69,0,0,202656,79744,132,102,125,9,69,0
133,209,63,2,0,92,4,1,214560,64864,106,58,172,64,106,0
134,149,58,0,44,32,97,0,153504,60288,0,84,107,153,49,0
135,444,634,145,62,63,80,0,454720,649632,390,171,147,140,68,0
136,210,75,23,0,98,70,120,215456,77376,129,42,199,159,312,0
137,133,92,0,19,66,77,0,136544,94336,75,70,145,138,0,0
138,459,652,72,98,9,47,69,471008,668384,201,205,73,46,197,0
139,194,72,0,3,81,46,81,199328,74144,3,48,159,101,218,0
140,142,65,48,0,17,77,32,146144,66848,162,50,74,101,141,0
141,142,55,0,17,90,24,27,146144,56352,14,68,174,83,135,0
142,183,63,0,13,33,0,86,188256,65472,1,46,73,4,229,0
143,144,54,0,92,57,4,35,148064,56288,0,173,122,28,145,0
144,185,87,0,0,0,72,0,189664,89504,0,0,27,68,89,0
145,344,693,99,115,73,106,140,352768,710432,256,269,190,207,373,0
146,221,56,322,6,88,48,86,226720,57600,1911,308,175,112,229,0
147,435,456,0,83,12,116,55,446144,467360,101,159,100,185,173,0
148,186,79,0,42,87,0,0,191392,81664,100,109,164,46,103,0
149,383,570,110,48,104,75,65,393056,584512,283,148,227,178,190,0
150,468,1023,102,30,87,89,4,479744,1048544,264,115,190,184,109,0
151,407,732,55,63,125,27,67,417696,749600,173,167,271,136,192,0
152,200,79,0,28,0,139,0,205344,81888,18,54,61,232,23,0
153,242,762,0,23,0,85,0,248000,780960,11,44,13,79,99,0
154,167,68,0,0,0,108,0,171040,69952,15,10,49,147,41,0
155,337,366,95,85,67,55,84,345888,374912,247,195,151,101,224,0
156,185,75,0,0,40,113,54,190208,77696,0,28,118,196,172,0
157,175,67,32,0,8,88,84,179424,68960,140,45,69,118,225,0
158,147,87,0,24,14,116,61,150752,89440,60,62,92,187,183,0
159,149,75,57,35,0,85,99,152672,77216,176,86,44,95,258,0
160,222,76,386,0,90,19,0,228224,77920,3417,441,164,78,77,0
161,153,794,150,148,84,63,106,156704,813216,407,394,205,131,275,0
162,171,87,0,10,0,88,0,175392,89600,104,50,62,112,76,0
163,177,79,0,39,48,65,84,181984,81056,34,85,115,101,224,0
164,410,857,57,73,27,92,79,420064,877696,175,153,103,137,214,0
165,160,81,0,13,21,68,64,164000,83072,0,43,77,87,188,0
166,146,257,0,44,36,97,74,150176,263296,1,84,111,155,206,0
167,401,693,124,27,101,127,68,410624,710304,322,124,240,296,195,0
168,129,62,0,64,84,38,0,132448,63712,57,135,172,94,52,0
169,141,84,0,65,11,77,26,144800,86272,38,117,77,96,133,0
170,525,1023,200,74,139,95,55,538176,1048544,636,255,340,273,173,0
171,193,71,0,99,59,75,25,198624,73216,18,193,148,127,132,0
172,223,68,276,0,136,0,2,229152,70592,1262,117,261,58,107,0
173,428,598,58,99,51,63,15,438336,612384,177,212,131,99,121,0
174,435,679,5,0,12,48,41,445920,695712,109,0,53,48,153,0
175,489,890,101,105,84,81,84,501536,912320,261,246,197,164,224,0
176,125,52,0,0,0,27,36,128544,54112,19,0,24,7,146,0
177,207,61,215,93,110,81,73,212352,62496,732,292,253,196,204,0
178,141,82,48,34,58,80,64,144736,84608,162,98,134,136,188,0
179,176,79,295,36,103,71,0,180608,81120,1503,293,221,169,60,0
180,482,1014,118,95,100,109,0,494080,1038880,304,234,242,247,100,0
181,152,88,0,68,0,68,132,155808,90144,0,111,31,57,345,0
182,182,73,0,87,11,116,56,186944,75552,84,164,100,185,175,0
183,215,96,274,59,60,100,37,221024,98688,1237,277,151,180,147,0
184,127,76,0,44,57,68,62,130336,77856,0,90,130,113,185,0
185,157,62,0,27,41,83,0,161216,64032,53,70,109,129,18,0
186,471,553,18,108,84,62,108,482624,567200,124,236,191,129,279,0
187,443,845,82,38,110,44,89,453792,865536,220,128,228,134,235,0
188,141,140,67,0,78,99,11,145344,143584,191,63,173,197,116,0
189,167,74,130,29,0,126,57,172000,76256,338,98,55,192,176,0
190,173,75,19,15,73,77,139,177952,77440,124,74,156,144,367,0
191,134,125,72,0,2,81,0,137760,128320,201,9,55,99,54,0
192,406,769,62,0,107,110,0,416480,788256,183,48,239,258,37,0
193,161,63,29,89,10,53,0,165024,65376,136,175,73,55,33,0
194,142,55,0,70,0,67,57,145952,57152,0,108,0,38,177,0
195,144,61,72,0,65,17,65,148384,62560,201,17,116,49,189,0
196,197,76,321,27,76,113,0,202048,77952,1893,325,181,230,56,0
197,318,222,91,0,38,84,21,326560,227456,237,0,94,128,127,0
198,553,573,46,43,12,74,0,567200,586912,159,100,73,92,73,0
199,166,51,12,0,78,42,62,170784,52896,116,0,145,93,185,0
200,269,631,96,48,79,92,13,275712,646304,249,135,178,180,119,0
201,150,51,0,0,37,52,0,154208,53120,39,0,85,71,8,0
202,411,950,224,19,69,124,70,421856,972960,788,166,173,252,198,0
203,198,103,22,62,54,69,0,203232,106432,128,134,129,113,105,0
204,348,669,100,105,78,38,51,356928,685792,260,244,170,87,167,0
205,192,68,0,0,71,34,0,197248,70496,0,0,133,76,61,0
206,185,66,0,71,26,75,0,189728,68480,60,133,95,103,0,0
207,191,95,0,87,0,88,0,196192,97280,97,164,70,110,36,0
208,205,118,208,0,60,81,0,210880,121824,685,45,124,140,37,0
209,177,81,18,0,0,114,50,181632,83520,123,4,55,167,166,0
210,167,141,0,0,49,79,79,171040,144672,29,0,111,127,214,0
211,480,1023,174,0,139,8,0,491520,1048544,503,131,300,138,0,0
212,294,149,96,0,41,106,32,302048,153504,249,65,116,179,141,0
213,387,1023,0,84,29,110,67,396320,1048544,81,161,117,181,193,0
214,190,87,0,94,0,89,35,194944,89312,0,164,56,103,145,0
215,523,980,141,22,44,120,10,535840,1004032,373,108,130,217,115,0
216,452,566,75,77,75,135,88,462912,580480,206,176,201,293,232,0
217,426,767,117,106,16,92,0,436896,785728,302,239,99,130,73,0
218,149,68,0,0,24,17,0,153312,70016,0,19,63,17,83,0
219,425,321,126,81,0,76,0,435680,329216,327,176,29,67,76,0
220,169,58,0,76,10,79,38,173152,59520,99,146,80,100,148,0
221,128,83,0,49,70,0,91,131520,85440,44,107,128,0,239,0
222,207,73,29,79,51,91,69,212768,74848,136,164,137,153,196,0
223,428,472,72,83,104,74,0,438304,483456,202,198,233,175,64,0
224,163,64,0,0,0,70,86,167584,65664,0,13,52,77,229,0
225,235,86,287,101,54,106,7,240864,88736,1390,378,154,191,112,0
226,571,983,99,58,71,76,157,585632,1006752,257,148,159,140,433,0
227,342,865,158,7,31,84,100,351040,885792,438,97,94,124,259,0
228,363,1023,0,7,7,103,6,372704,1048544,5,35,76,151,111,0
229,148,89,0,26,42,60,0,151776,91424,0,62,102,88,62,0
230,179,71,0,0,52,55,0,183296,73504,87,48,111,87,95,0
231,139,73,0,88,28,86,26,143200,75520,84,171,106,125,133,0
232,137,55,51,100,127,112,144,140416,57248,166,240,315,292,385,0
233,174,74,0,0,25,81,0,178880,76224,37,32,84,113,16,0
234,183,71,0,74,11,89,12,187392,73504,30,132,84,121,117,0
235,343,674,122,15,67,71,53,351712,690400,314,98,144,128,170,0
236,189,98,0,54,0,93,82,194336,100672,88,97,24,97,220,0
237,184,457,250,101,130,97,83,189344,468736,1003,356,319,261,223,0
238,168,95,0,0,0,105,91,172064,97440,82,12,12,120,239,0
239,198,85,277,0,56,101,89,202784,87968,1278,147,129,179,235,0
240,160,41,0,40,29,86,54,164768,42816,24,81,97,126,172,0
241,154,226,129,50,74,81,0,157920,231840,335,147,165,154,92,0
242,111,158,31,0,0,117,71,114656,162688,138,19,68,181,199,0
243,512,718,37,46,33,82,0,524320,735776,147,106,101,121,41,0
244,266,98,262,99,10,140,95,272480,100576,1116,329,117,257,249,0
245,559,492,188,22,130,48,1,572992,504192,574,165,285,172,106,0
246,586,409,194,0,57,0,0,600768,419456,602,69,95,3,52,0
247,135,378,0,7,83,69,128,139040,387744,0,53,171,140,333,0
248,161,78,0,0,50,65,65,164992,79968,69,0,107,102,190,0
249,186,85,0,80,75,64,94,191360,87936,86,167,167,123,245,0
250,205,69,74,7,63,84,62,210208,71424,204,74,140,148,185,0
251,137,597,0,18,22,104,26,140320,612000,57,57,94,162,133,0
252,208,76,25,75,0,63,0,213248,78016,132,141,38,52,89,0
253,149,100,3,0,53,36,95,153440,103392,107,8,103,61,247,0
254,172,81,0,0,4,98,122,177056,83456,35,5,66,136,316,0
255,201,95,298,0,27,93,21,206336,98080,1540,220,90,140,128,0
256,448,705,64,0,77,82,98,459168,722560,186,65,164,158,255,0
257,170,71,0,68,0,111,0,174432,73600,20,105,0,121,67,0
258,180,89,78,47,63,73,41,185248,91808,213,124,142,128,152,0
259,159,42,0,54,43,17,51,163552,44000,0,101,96,30,167,0
260,360,347,60,77,4,85,0,369184,355584,180,156,76,109,84,0
261,206,112,0,32,0,121,7,211488,115680,66,61,20,160,112,0
262,145,80,0,0,53,71,39,149408,82016,92,31,116,115,150,0
263,502,578,7,62,0,98,0,514720,592800,112,118,59,125,0,0
264,190,76,0,0,40,57,0,194656,78464,63,29,94,81,90,0
265,582,1023,154,80,62,127,133,596256,1048544,423,207,173,255,349,0
266,243,90,361,0,106,17,8,249312,92832,2719,342,199,96,113,0
267,152,84,0,13,0,101,0,156352,86656,94,48,41,127,95,0
268,213,66,308,0,33,117,19,218880,68544,1691,244,110,202,125,0
269,211,913,283,184,215,134,92,216352,935904,1348,754,761,575,241,0
270,211,46,218,0,42,19,44,216864,47136,748,65,80,32,157,0
271,164,59,0,67,46,111,85,168416,60800,57,130,136,196,226,0
272,229,96,316,46,73,63,0,234624,98688,1810,338,156,119,69,0
273,165,88,4,0,71,33,62,169792,91008,108,1,131,74,185,0
274,179,91,0,21,60,18,0,184096,93184,71,70,117,45,76,0
275,158,74,19,53,0,108,0,162080,75872,124,108,77,158,72,0
276,193,1023,79,58,27,101,83,198560,1048544,214,132,104,157,222,0
277,152,55,0,0,3,75,26,156448,56672,38,0,55,89,133,0
278,163,597,0,0,0,55,32,167072,612064,0,12,31,44,141,0
279,182,69,310,0,111,75,83,187296,70944,1719,273,235,186,222,0
280,221,94,335,0,76,41,0,226848,96576,2150,290,144,90,12,0
281,152,72,0,71,3,78,65,156064,74112,62,130,71,95,190,0
282,220,108,465,0,164,0,111,225632,111168,6959,905,371,148,286,0
283,166,193,138,14,86,151,158,170656,198240,365,110,223,360,437,0
284,398,976,0,16,93,30,0,407584,999584,100,79,181,93,71,0
285,193,75,0,19,10,76,55,198560,77184,0,48,68,94,173,0
286,142,84,49,78,0,96,0,145504,86944,164,148,33,106,45,0
287,150,92,59,52,43,39,76,154080,95040,178,121,101,57,209,0
288,183,77,14,66,2,58,0,187744,79744,119,129,62,59,80,0
289,230,1023,0,73,0,40,22,236512,1048544,0,116,0,0,129,0
290,181,156,0,5,55,60,131,185376,159872,0,43,119,98,342,0
291,432,640,213,104,208,89,215,442976,655488,717,380,659,432,728,0
292,166,63,290,0,106,102,102,170464,64992,1428,233,234,236,263,0
293,200,52,0,19,50,86,30,205504,53472,34,61,122,142,138,0
294,164,81,0,0,46,40,115,168064,83808,40,41,98,60,296,0
295,288,1023,69,43,97,93,79,295808,1048544,196,127,216,205,215,0
296,430,1023,0,0,58,58,0,441184,1048544,49,0,117,97,33,0
297,490,1023,287,153,141,157,135,502080,1048544,1391,567,410,464,355,0
298,133,61,8,0,0,108,88,137120,63008,112,0,43,147,233,0
299,164,81,286,0,86,36,57,168576,83104,1380,217,165,94,176,0
300,417,853,21,35,107,82,89,427392,874432,127,111,233,193,235,0
301,183,79,0,80,75,40,26,188192,81600,31,159,160,87,133,0
302,137,48,22,0,24,58,48,140640,49408,127,11,71,72,163,0
303,123,375,0,0,44,76,0,125984,384224,0,21,105,116,76,0
304,171,101,195,0,22,42,51,175648,103520,608,75,64,47,167,0
305,166,91,0,99,43,15,94,170432,93536,35,192,106,28,245,0
306,140,100,0,49,47,0,70,143648,103392,30,98,94,0,198,0
307,209,60,0,28,44,57,23,214272,61472,98,78,104,84,130,0
308,157,103,39,0,0,64,0,160768,105472,148,1,25,55,68,0
309,171,91,0,51,86,84,80,175136,93248,77,118,189,171,217,0
310,165,128,82,14,39,70,12,169888,131296,220,77,100,102,117,0
311,225,762,42,43,7,78,0,231296,780448,153,98,70,97,101,0
312,270,134,540,0,193,32,0,277216,138176,13573,1460,484,293,52,0
313,118,318,85,60,27,104,73,121472,326400,227,138,107,165,204,0
314,438,818,88,19,80,87,0,448512,837984,231,95,174,172,0,0
315,471,527,0,0,53,46,0,483232,540480,16,29,109,75,96,0
316,225,69,239,69,24,114,70,230496,70880,909,242,110,189,198,0
317,467,973,93,86,47,89,135,478464,996736,244,192,132,146,356,0
318,290,129,317,13,107,66,102,297120,132512,1833,311,224,164,265,0
319,573,1023,151,0,77,0,110,587328,1048544,409,80,131,3,284,0
320,418,784,63,40,84,47,0,428416,803808,185,117,171,107,93,0
321,163,57,0,57,0,114,0,167520,59040,102,109,71,167,57,0
322,388,597,110,60,42,114,130,397792,611616,282,147,131,201,339,0
323,141,79,44,0,0,104,0,145088,81280,156,16,48,139,102,0
324,161,79,0,57,0,122,62,165184,81728,89,102,38,170,185,0
325,134,286,6,0,75,0,95,137472,293600,110,0,122,5,248,1
326,169,91,0,74,0,81,0,173824,94176,97,139,64,96,66,1
327,332,722,0,28,0,91,0,340864,739584,29,53,22,95,76,1
328,154,78,0,41,31,111,46,157952,80512,23,83,112,185,159,1
329,144,97,0,57,0,89,18,147904,99712,20,96,44,100,124,1
330,538,508,97,71,50,100,37,551104,520384,253,165,138,172,147,1
331,268,92,342,0,95,63,0,274464,94496,2281,274,185,145,72,1
332,199,55,0,50,0,62,71,204704,56608,8,85,38,53,200,1
333,161,66,0,17,51,99,71,165728,67904,33,59,129,171,199,1
334,467,571,29,80,31,79,0,478976,585504,137,162,105,113,60,1
335,385,986,162,117,104,110,95,395008,1010048,455,311,259,253,247,1
336,193,85,283,57,100,71,0,198400,87872,1347,302,216,164,0,1
337,154,96,24,0,55,29,0,157856,99136,129,0,103,54,98,1
338,109,70,0,0,48,77,69,112000,72064,0,18,112,122,196,1
339,202,110,283,0,109,89,0,207552,112640,1346,185,232,212,81,1
340,1023,1023,254,139,139,167,260,1048544,1048544,1038,472,403,496,1094,1
341,153,141,109,0,61,59,0,157088,145344,279,57,125,102,46,1
342,163,95,383,0,139,0,0,167616,98272,3325,453,287,113,76,1
343,388,868,70,76,34,116,15,397408,889792,198,163,124,199,121,1
344,124,80,0,70,64,66,0,127296,82368,86,144,146,116,0,1
345,173,105,60,5,64,82,0,177856,107552,180,69,141,146,57,1
346,134,142,0,84,43,107,0,137952,145984,38,160,134,183,95,1
347,151,62,13,1,23,59,83,155264,63648,117,47,75,73,222,1
348,434,601,0,13,75,64,0,445216,616288,53,64,156,124,59,1
349,131,51,46,27,57,76,67,135040,52864,159,89,131,128,193,1
350,360,845,65,37,38,82,99,368992,865312,189,101,107,125,258,1
351,133,82,35,19,0,109,0,136736,84384,143,61,46,147,95,1
352,250,207,131,89,110,101,99,256896,212896,343,231,261,239,256,1
353,144,60,0,60,80,35,47,148224,62112,73,131,164,86,161,1
354,145,79,0,57,12,73,0,148800,81824,43,105,76,91,105,1
355,500,457,0,21,98,20,101,512736,468832,101,87,192,89,261,1
356,168,61,302,65,0,133,0,172064,62848,1592,313,40,198,87,1
357,126,52,0,101,6,95,16,129184,53792,53,191,89,132,122,1
358,116,214,8,0,0,99,129,118784,219488,112,41,60,133,337,1
359,237,70,287,0,68,69,0,242976,71776,1398,203,139,124,100,1
360,496,644,39,0,1,79,114,508320,659488,149,0,53,96,295,1
361,1023,1023,768,578,596,529,532,1048544,1048544,106496,36960,27232,24578,12676,1
362,228,81,268,109,23,143,4,234208,83264,1175,362,137,276,109,1
363,209,78,0,36,14,35,0,214688,80256,52,76,62,32,93,1
364,134,57,0,72,2,55,15,137728,58880,0,123,62,54,121,1
365,393,715,32,33,84,40,0,402720,732192,140,101,167,96,11,1
366,192,69,94,51,0,31,62,197088,70976,246,119,41,15,185,1
367,162,67,14,0,24,45,0,166496,69536,118,13,67,52,86,1
368,172,42,0,19,69,0,0,176480,43456,93,74,128,33,21,1
369,213,112,258,0,67,52,107,218368,115168,1077,126,129,97,277,1
370,135,78,0,41,30,0,119,139072,80352,11,81,73,0,309,1
371,129,435,39,0,94,84,100,132288,445952,148,41,196,181,260,1
372,219,100,293,5,51,0,0,224992,102912,1472,237,93,0,99,1
373,166,76,0,88,44,0,34,170208,78048,65,171,101,10,143,1
374,180,79,12,12,81,20,22,185056,81152,116,73,155,69,129,1
375,130,77,0,5,53,72,115,133824,79264,0,42,119,116,297,1
376,189,63,21,8,26,25,0,193536,65184,126,56,69,27,70,1
377,184,95,442,0,132,0,26,188576,97536,5636,676,257,108,133,1
378,171,71,28,13,73,80,68,175840,73088,135,74,157,151,194,1
379,346,968,46,43,84,48,0,354304,991328,159,117,171,108,0,1
380,157,90,226,3,2,105,24,161248,92896,809,137,71,153,131,1
381,545,1023,82,5,88,0,151,558720,1048544,220,82,152,0,412,1
382,514,368,68,15,0,86,0,527296,377760,193,63,34,93,23,1
383,167,67,17,95,52,91,18,171936,68640,123,196,142,153,124,1
384,377,898,0,29,63,20,0,386432,920384,76,81,124,51,97,1
385,132,71,11,0,0,136,26,135968,73120,115,28,55,223,133,1
386,132,79,50,0,0,75,87,135392,80960,165,41,20,67,231,1
387,149,65,0,54,0,46,91,153440,67136,15,93,43,33,239,1
388,138,96,0,0,67,10,82,141344,98720,64,0,118,43,220,1
389,220,118,253,58,115,46,104,226080,121824,1023,266,247,145,268,1
390,141,82,0,116,30,66,58,144608,84864,82,237,109,90,178,1
391,156,121,6,74,39,74,8,160352,124448,111,148,111,109,113,1
392,191,72,0,25,10,85,23,196000,74720,57,62,73,112,130,1
393,186,90,371,0,57,101,0,190944,92320,2962,333,126,181,12,1
394,139,60,0,43,0,58,0,143136,61760,72,83,34,45,103,1
395,413,1023,138,75,56,87,86,423584,1048544,364,188,141,148,228,1
396,255,78,162,59,70,13,71,261600,80000,454,177,140,50,200,1
397,502,607,88,40,0,69,7,514656,622240,231,93,0,44,112,1
398,480,879,148,0,123,48,31,492288,900640,397,57,253,159,139,1
399,482,224,23,0,22,62,48,493696,230144,129,0,68,76,162,1
400,284,131,403,42,120,51,9,290816,135040,3973,637,259,160,114,1
401,223,151,0,68,63,69,90,229152,154784,3,130,145,120,238,1
402,497,765,106,0,110,30,31,508992,784160,273,54,215,116,140,1
403,376,473,97,0,88,37,100,385056,485024,252,26,164,97,259,1
404,402,1023,98,27,103,62,0,412608,1048544,254,116,216,153,86,1
405,128,89,37,0,56,0,16,131200,91488,146,0,93,0,122,1
