,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,238,118,328,0,59,93,41,244448,120992,2020,236,128,163,153,0
1,435,294,171,96,107,55,72,445568,301472,493,265,236,147,202,0
2,168,85,0,66,25,72,113,172192,87744,21,119,92,97,292,0
3,120,289,0,0,0,27,20,123840,296672,17,1,12,0,126,0
4,170,90,33,0,58,64,59,175072,92480,140,5,118,108,180,0
5,514,426,106,78,68,94,1,527264,436512,273,184,165,175,106,0
6,381,611,0,97,22,65,0,391104,626304,4,177,93,82,64,0
7,412,903,32,74,18,66,0,422208,925376,140,149,83,81,0,0
8,404,649,58,51,61,94,30,414592,665344,177,124,148,169,138,0
9,416,413,49,75,138,90,128,426528,423552,164,193,333,259,335,0
10,192,67,0,1,21,65,64,197536,69088,58,39,74,81,188,0
11,130,107,0,12,65,3,59,133440,109728,0,52,121,34,179,0
12,155,51,52,0,29,93,0,159552,52960,167,0,88,140,105,0
13,188,120,40,4,91,45,69,192960,123168,150,73,181,112,197,0
14,387,393,0,124,71,69,102,396768,403136,66,268,173,127,264,0
15,191,51,20,29,52,64,0,195648,53088,125,85,118,102,99,0
16,154,566,0,0,62,21,57,158240,580480,17,0,114,51,177,0
17,191,94,84,13,74,30,0,195904,96832,223,86,143,73,22,0
18,149,125,55,70,27,147,101,152864,128768,173,147,134,293,262,0
19,138,75,35,0,39,65,0,142080,77472,143,43,95,94,76,0
20,239,74,312,0,117,10,47,245536,76448,1750,156,217,103,161,0
21,151,88,76,49,40,55,0,155360,90912,209,120,102,79,100,0
22,392,843,52,0,95,28,0,401536,863872,167,40,179,93,79,0
23,159,83,51,43,79,0,0,162848,85504,166,117,150,45,56,0
24,606,1023,40,0,77,0,119,621216,1048544,150,52,132,8,308,0
25,156,66,0,36,62,77,29,160608,68384,89,92,141,135,137,0
26,179,518,74,12,110,0,0,183712,531328,205,95,202,19,5,0
27,175,99,0,0,66,38,53,180160,101760,0,29,128,75,170,0
28,164,86,50,38,43,29,135,168160,88352,164,100,97,44,354,0
29,192,75,0,39,46,58,77,196608,76960,76,90,109,87,211,0
30,148,78,29,0,89,49,0,151648,80032,136,0,169,115,66,0
31,463,760,50,0,81,66,54,474528,778368,164,49,164,133,172,0
32,140,89,44,0,64,44,0,143392,91648,155,0,120,81,60,0
33,379,680,0,7,81,0,0,388480,696352,3,53,149,47,90,0
34,144,89,0,82,74,80,70,148352,91456,55,166,172,152,198,0
35,180,77,0,0,44,71,0,185024,79264,53,36,105,108,93,0
36,314,152,45,37,59,74,7,322272,156576,157,101,134,125,112,0
37,139,92,0,58,24,86,0,142464,94208,99,117,94,123,24,0
38,121,77,0,0,37,48,89,124832,79808,81,23,86,65,236,0
39,188,60,370,0,77,81,0,193376,62176,2945,347,153,156,83,0
40,453,769,86,67,70,85,43,464160,787840,229,160,163,157,156,0
41,155,54,0,50,45,61,89,159168,55552,92,108,110,91,235,0
42,234,91,360,0,82,80,0,239616,93728,2703,295,159,160,32,0
43,139,128,68,52,94,117,45,143296,131616,194,139,224,260,158,0
44,222,69,213,0,68,50,0,227808,70880,715,53,127,95,19,0
45,179,55,0,0,54,57,0,183968,56384,85,47,116,93,91,0
46,488,728,137,0,37,86,78,500064,745856,362,80,101,131,213,0
47,133,102,0,39,62,33,10,136544,104608,69,93,127,65,115,0
48,142,117,0,0,56,48,0,146208,120352,8,0,111,80,78,0
49,128,553,0,0,0,78,87,131424,566560,0,0,48,90,230,0
50,425,566,34,108,0,80,24,435584,579616,143,213,49,80,131,0
51,566,741,171,69,61,121,106,580352,759488,492,195,166,236,274,0
52,218,74,211,62,65,141,0,223264,75968,701,213,183,301,103,0
53,200,63,0,42,0,98,0,204928,64672,55,74,17,105,71,0
54,421,997,144,108,98,88,83,431104,1021568,387,276,231,195,223,0
55,146,78,84,0,57,77,57,150464,80384,223,35,123,130,176,0
56,219,110,0,39,20,82,0,224672,113184,105,89,85,112,43,0
57,146,666,0,0,13,7,0,150112,682880,48,0,46,0,73,0
58,246,69,217,0,102,78,70,252096,71328,743,125,212,179,198,0
59,179,57,0,59,73,31,0,183488,58912,90,128,149,73,37,0
60,200,85,0,70,71,0,67,205472,87424,100,148,140,35,192,0
61,164,61,0,0,0,88,0,168512,62624,37,0,21,93,56,0
62,241,73,363,0,100,73,114,247104,74912,2762,405,208,169,295,0
63,155,61,61,0,0,93,45,159360,63008,181,40,0,89,158,0
64,459,545,0,38,18,7,38,470464,558816,95,86,60,2,149,0
65,167,74,0,4,13,22,0,171904,75840,47,39,53,15,56,0
66,190,93,0,21,30,86,66,195040,95424,36,59,95,126,191,0
67,209,60,233,0,90,27,0,214976,62400,856,151,172,87,95,0
68,184,65,285,18,64,66,79,188960,66560,1371,241,136,115,215,0
69,965,1023,265,160,154,97,0,988736,1048544,1145,569,420,305,101,0
70,155,90,0,0,25,45,0,158752,93088,59,31,72,53,100,0
71,227,116,391,0,125,0,0,233152,119744,3552,422,233,70,56,0
72,1019,1023,0,0,30,55,189,1043648,1048544,87,0,76,71,577,0
73,398,540,20,0,76,64,46,407936,552960,125,0,148,124,159,0
74,249,101,310,18,51,96,18,255552,103872,1721,284,129,165,124,0
75,322,690,0,41,46,20,72,330240,706816,93,95,99,36,201,0
76,209,81,7,81,26,79,0,214304,83328,112,159,99,110,51,0
77,132,89,0,80,14,65,5,135584,91840,0,141,79,76,110,0
78,387,1000,94,103,20,111,73,396672,1024512,245,224,112,178,203,0
79,186,89,0,81,75,0,0,191360,91776,90,168,147,23,68,0
80,163,93,0,21,59,52,0,167168,95552,52,68,125,89,60,0
81,309,989,135,108,60,93,114,316736,1013248,356,260,160,165,293,0
82,222,89,361,6,68,73,73,228128,91296,2709,407,145,133,204,0
