pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
32,39.4,4.15,0.1024,0.15487718863980784,0.1024,0.14806629407410293,0.12039611043028081,202240.0,85632.0,17.0,83.0,50.0,32.0,124.0,0.0
33,57.4,9.7,0.8788074028291496,0.1024,0.12258150712276275,0.22801121386003648,0.17566084058551082,294240.0,199040.0,909.0,113.0,77.0,125.0,181.0,0.0
34,39.6,2.7,0.12593420550714696,0.1024,0.1024,0.31237405596334344,0.1024,202784.0,55680.0,128.0,0.0,0.0,161.0,101.0,0.0
35,53.4,11.65,0.18876651442269293,0.1024,0.1024,0.2609455869930851,0.1024,273440.0,238624.0,193.0,0.0,56.0,146.0,29.0,0.0
36,50.8,5.8,0.1024,0.19392942359868295,0.1024,0.2300713054016148,0.1024,260480.0,119328.0,34.0,113.0,0.0,77.0,35.0,0.0
37,45.6,4.75,0.16945327103418178,0.1024,0.1024,0.19923354230667628,0.1024,233760.0,97408.0,174.0,4.0,15.0,65.0,58.0,0.0
38,46.8,3.9,0.1024,0.1024,0.1024,0.2959630243862989,0.12039611043028081,240160.0,80032.0,41.0,21.0,5.0,146.0,124.0,0.0
39,42.4,3.75,0.11824967523220054,0.15487718863980784,0.1024,0.29863706358303954,0.20653205040438585,217312.0,77280.0,121.0,85.0,7.0,145.0,212.0,0.0
40,41.6,10.35,1.4940407968056941,0.1270720267009761,0.1402874130141752,0.28550417053830485,0.1024,213952.0,212480.0,1539.0,263.0,116.0,196.0,59.0,0.0
41,51.2,6.3,0.1024,0.1024,0.1024,0.34177276869550477,0.11407092326346777,262656.0,129344.0,0.0,0.0,0.0,185.0,118.0,0.0
42,36.4,3.35,0.1024,0.14412438152599996,0.1024,0.23636393234036387,0.1024,186400.0,68896.0,63.0,77.0,59.0,118.0,21.0,0.0
43,26.4,3.95,0.1024,0.15911319872255733,0.1024,0.17724794415708725,0.1024,135552.0,81216.0,97.0,89.0,0.0,31.0,65.0,0.0
44,73.6,7.55,0.19568158463697313,0.1024,0.15627651098408582,0.16945327103418178,0.1024,377664.0,154656.0,201.0,55.0,104.0,85.0,0.0,0.0
45,54.2,6.6,0.26330324207274547,0.1740879481674622,0.1024,0.27790330175572137,0.11719085064164587,277568.0,135488.0,271.0,133.0,63.0,156.0,121.0,0.0
46,62.6,8.55,0.2539985320257652,0.1854011640859773,0.1024,0.3068050166788469,0.1024,320800.0,175360.0,262.0,132.0,0.0,148.0,84.0,0.0
47,49.8,4.85,0.1024,0.1024,0.1024,0.23424749571260373,0.1024,255712.0,100064.0,64.0,0.0,9.0,94.0,0.0,0.0
48,52.2,7.35,1.8876651442269294,0.15211602095849217,0.1353298830914057,0.3479765328837181,0.1024,267360.0,151328.0,1942.0,342.0,127.0,257.0,51.0,0.0
49,52.0,5.05,0.1024,0.16793596208624098,0.10615121187202028,0.3040578404559338,0.1921929516622048,266528.0,103936.0,36.0,100.0,89.0,196.0,198.0,0.0
50,63.4,13.6,2.6330324207274542,0.1820958115879857,0.21603230857279196,0.23636393234036387,0.1024,324832.0,278880.0,2716.0,490.0,190.0,188.0,0.0,0.0
51,139.8,13.6,0.22801121386003648,0.1024,0.10905452905988393,0.11304951581874152,0.1024,715936.0,279264.0,233.0,0.0,37.0,0.0,60.0,0.0
52,30.4,3.85,0.1024,0.10615121187202028,0.1024,0.17098428893650555,0.1024,156544.0,78880.0,55.0,30.0,0.0,28.0,35.0,0.0
53,78.0,8.15,0.1725291396542299,0.3040578404559338,0.16200137722745894,0.25629342015227985,0.1024,400352.0,167616.0,178.0,268.0,154.0,179.0,37.0,0.0
54,44.2,4.1,0.1024,0.1024,0.1024,0.268082649250345,0.1024,227104.0,84032.0,0.0,0.0,31.0,136.0,0.0,1.0
55,53.2,4.9,0.1024,0.10905452905988393,0.1024,0.32091772635322535,0.1024,273184.0,100352.0,0.0,20.0,0.0,167.0,0.0,1.0
56,66.0,7.1,0.3807259303848422,0.19923354230667628,0.1024,0.31519636956627706,0.1024,338720.0,145824.0,393.0,176.0,70.0,194.0,82.0,1.0
57,43.4,4.25,0.12039611043028081,0.1024,0.13903125935157085,0.1854011640859773,0.1024,222464.0,87712.0,123.0,40.0,89.0,92.0,33.0,1.0
58,91.0,15.0,0.7275493493173031,0.2656821986717712,0.2384994910679599,0.2300713054016148,0.16793596208624098,466272.0,307584.0,748.0,317.0,221.0,193.0,173.0,1.0
59,41.8,4.9,0.1788493872806009,0.11510155917025851,0.11824967523220054,0.23424749571260373,0.1534903960289547,214240.0,101120.0,183.0,67.0,81.0,130.0,158.0,1.0
60,120.8,15.55,0.14412438152599996,0.16793596208624098,0.1024,0.34177276869550477,0.19568158463697313,619392.0,319008.0,148.0,99.0,0.0,180.0,201.0,1.0
61,50.6,7.2,0.1024,0.11407092326346777,0.1024,0.21218086063659222,0.1024,259200.0,147584.0,20.0,33.0,9.0,70.0,0.0,1.0
62,98.4,19.95,0.48537925041276075,0.37731685567439016,0.22194095816380596,0.2609455869930851,0.1024,504192.0,409440.0,502.0,396.0,224.0,215.0,0.0,1.0
63,54.8,16.85,0.37731685567439016,0.21409792422694074,0.14155491608144893,0.37059000896020594,0.1024,280576.0,346016.0,387.0,199.0,145.0,284.0,92.0,1.0
64,54.0,4.7,0.1024,0.137786353469435,0.1634650669350853,0.16643223934073492,0.1024,276576.0,96576.0,13.0,75.0,116.0,86.0,0.0,1.0
65,51.6,14.05,0.49418971949403295,0.21218086063659222,0.2028499741235547,0.24065434466442132,0.1024,265056.0,288288.0,507.0,225.0,181.0,185.0,21.0,1.0
66,61.2,5.3,0.1024,0.1353298830914057,0.15911319872255733,0.16793596208624098,0.1024,314144.0,108832.0,31.0,75.0,112.0,85.0,59.0,1.0
67,77.4,8.25,1.0807803912996896,0.1725291396542299,0.1788493872806009,0.17566084058551082,0.1024,397024.0,169632.0,1116.0,260.0,138.0,105.0,0.0,1.0
68,63.6,7.9,0.1024,0.1024,0.1024,0.3013352628438305,0.1024,325856.0,162208.0,77.0,0.0,20.0,160.0,0.0,1.0
69,43.4,5.5,0.1024,0.1024,0.1052007186615606,0.17098428893650555,0.11931806635041005,222688.0,113088.0,0.0,22.0,52.0,58.0,123.0,1.0
70,54.6,9.9,0.6414679415366508,0.18876651442269293,0.1024,0.28808371352153866,0.1402874130141752,280096.0,202880.0,661.0,199.0,55.0,160.0,145.0,1.0
71,70.4,11.0,0.36398308921465733,0.14542655177583327,0.1534903960289547,0.21798417016794858,0.14283387109577214,360864.0,225504.0,375.0,130.0,117.0,134.0,147.0,1.0
72,52.6,5.55,0.1024,0.1534903960289547,0.1024,0.3607239323108456,0.1024,270080.0,113824.0,101.0,77.0,0.0,198.0,0.0,1.0
73,95.2,14.5,4.94189719494033,0.1024,0.3479765328837181,0.1024,0.1024,487552.0,297184.0,5104.0,558.0,261.0,106.0,25.0,1.0
74,45.6,3.75,0.1024,0.1024,0.1024,0.21995366692014168,0.1024,233632.0,77792.0,28.0,0.0,1.0,76.0,0.0,1.0
75,71.4,10.5,0.37731685567439016,0.13291720693948222,0.1024,0.24723642585667988,0.1024,365792.0,215584.0,389.0,109.0,66.0,133.0,61.0,1.0
76,74.4,15.6,0.44362775217754097,0.1024,0.11103405652348632,0.2609455869930851,0.1024,381440.0,320448.0,456.0,74.0,76.0,155.0,69.0,1.0
77,46.8,3.25,0.1725291396542299,0.13291720693948222,0.11203725420310383,0.23424749571260373,0.1740879481674622,239904.0,66976.0,177.0,83.0,76.0,127.0,179.0,1.0
78,55.6,6.0,0.16494198114485398,0.18707627191715065,0.1024,0.268082649250345,0.1024,285600.0,123584.0,170.0,133.0,54.0,141.0,52.0,1.0
79,43.4,3.9,0.17566084058551082,0.1788493872806009,0.1024,0.2609455869930851,0.12593420550714696,222720.0,80032.0,181.0,129.0,78.0,149.0,130.0,1.0
80,33.2,3.25,0.17566084058551082,0.15911319872255733,0.19744957652881365,0.12480657252785048,0.1024,170592.0,67392.0,181.0,125.0,145.0,62.0,77.0,1.0
81,50.4,4.65,0.14542655177583327,0.18374105541112293,0.11931806635041005,0.20468273273584747,0.1024,258304.0,95904.0,149.0,134.0,84.0,100.0,68.0,1.0
82,87.8,16.9,0.476725855350575,0.2539985320257652,0.19744957652881365,0.32091772635322535,0.17566084058551082,449664.0,346912.0,491.0,265.0,198.0,264.0,181.0,1.0
83,59.6,23.25,132.91720693948224,0.1024,5.706813850904459,0.1024,0.13903125935157085,305952.0,476384.0,137632.0,17750.0,5406.0,2000.0,143.0,1.0
84,48.8,4.95,0.12148389468675426,0.19568158463697313,0.12258150712276275,0.31519636956627706,0.1024,250848.0,101760.0,125.0,143.0,112.0,217.0,71.0,1.0
85,37.0,7.3,0.2102809627092118,0.1024,0.1024,0.16793596208624098,0.1024,190432.0,150272.0,215.0,45.0,0.0,26.0,69.0,1.0
86,42.8,2.95,0.1024,0.1317270471615462,0.11103405652348632,0.21603230857279196,0.14412438152599996,220128.0,61120.0,76.0,69.0,72.0,108.0,148.0,1.0
87,58.4,8.9,0.2804141705486706,0.15075395223997853,0.10615121187202028,0.28550417053830485,0.2906865627912965,299872.0,182400.0,287.0,115.0,83.0,175.0,299.0,1.0
88,43.6,4.05,0.1024,0.1024,0.1024,0.21995366692014168,0.1024,223520.0,83872.0,0.0,0.0,46.0,101.0,0.0,1.0
89,47.6,4.1,0.17724794415708725,0.23424749571260373,0.1024,0.37731685567439016,0.19392942359868295,244512.0,84960.0,183.0,172.0,24.0,223.0,200.0,1.0
90,90.2,12.95,0.4986547457698438,0.2609455869930851,0.23424749571260373,0.17098428893650555,0.1024,462112.0,265248.0,515.0,281.0,204.0,130.0,0.0,1.0
91,54.0,11.5,0.4516803596815303,0.21995366692014168,0.10905452905988393,0.42411873427091507,0.1854011640859773,277376.0,236512.0,466.0,212.0,124.0,320.0,191.0,1.0
92,32.2,5.05,0.1024,0.12480657252785048,0.1024,0.26330324207274547,0.1024,165088.0,103456.0,65.0,48.0,7.0,115.0,0.0,1.0
93,76.6,15.9,0.46822673397445747,0.3180441828991698,0.14155491608144893,0.37393830630895386,0.1024,392864.0,326016.0,484.0,321.0,159.0,288.0,0.0,1.0
94,30.2,4.15,0.1024,0.1024,0.1024,0.13903125935157085,0.1024,155360.0,85568.0,84.0,22.0,0.0,0.0,64.0,1.0
95,84.8,11.2,0.33267388245711177,0.2300713054016148,0.11203725420310383,0.24723642585667988,0.1024,434560.0,229600.0,341.0,205.0,91.0,140.0,0.0,1.0
96,56.6,7.05,0.1024,0.1024,0.1024,0.2028499741235547,0.1024,290368.0,144768.0,82.0,5.0,21.0,71.0,52.0,1.0
97,43.4,4.15,0.1024,0.10711029283125797,0.1024,0.23636393234036387,0.1024,223072.0,85568.0,52.0,29.0,5.0,91.0,49.0,1.0
98,55.6,5.55,0.157688476268492,0.16945327103418178,0.1024,0.37059000896020594,0.1024,284960.0,113728.0,162.0,111.0,61.0,241.0,68.0,1.0
99,87.0,9.25,0.11003984162010291,0.13054754424534865,0.16494198114485398,0.22801121386003648,0.1024,445824.0,190368.0,112.0,81.0,129.0,151.0,59.0,1.0
100,76.0,12.15,0.2450226353590413,0.23424749571260373,0.1024,0.3013352628438305,0.1024,389120.0,249760.0,252.0,190.0,55.0,169.0,26.0,1.0
101,41.8,9.05,0.37059000896020594,0.1270720267009761,0.1024,0.26330324207274547,0.1024,214656.0,186016.0,382.0,91.0,0.0,111.0,0.0,1.0
102,38.4,4.2,0.20839807674098557,0.1024,0.1024,0.27294881089701023,0.11304951581874152,197408.0,86688.0,213.0,1.0,8.0,129.0,116.0,1.0
103,55.0,4.85,0.1024,0.1725291396542299,0.12258150712276275,0.12148389468675426,0.15487718863980784,282080.0,100000.0,69.0,111.0,69.0,17.0,160.0,1.0
104,49.8,6.2,0.1024,0.10615121187202028,0.1024,0.28808371352153866,0.1024,255616.0,127872.0,50.0,32.0,44.0,161.0,92.0,1.0
105,40.0,4.6,0.12258150712276275,0.1024,0.1024,0.27541491564288445,0.1024,205280.0,94720.0,125.0,0.0,0.0,127.0,92.0,1.0
106,48.8,11.35,0.21798417016794858,0.1634650669350853,0.11614150691868232,0.31237405596334344,0.1024,250208.0,232640.0,224.0,121.0,101.0,211.0,0.0,1.0
107,57.4,7.15,0.1024,0.11614150691868232,0.10807803912996895,0.268082649250345,0.1024,294432.0,146976.0,65.0,50.0,77.0,159.0,59.0,1.0
108,49.2,15.35,0.24282866745975348,0.24065434466442132,0.1820958115879857,0.24947021805073416,0.1024,252736.0,314752.0,251.0,217.0,165.0,182.0,0.0,1.0
109,25.4,1.7,0.4724571835118812,0.12480657252785048,0.21995366692014168,0.31237405596334344,0.1024,130976.0,35072.0,488.0,135.0,204.0,269.0,0.0,1.0
110,48.6,5.2,0.1024,0.1024,0.1725291396542299,0.1270720267009761,0.12937860276781757,249120.0,107296.0,97.0,28.0,110.0,51.0,133.0,1.0
111,80.2,9.2,0.31237405596334344,0.14542655177583327,0.1024,0.22596956867426202,0.1024,410912.0,188544.0,321.0,106.0,22.0,89.0,53.0,1.0
112,46.4,3.5,0.1024,0.1024,0.1024,0.14283387109577214,0.1024,237600.0,72096.0,0.0,17.0,9.0,8.0,0.0,1.0
113,39.6,3.95,0.1024,0.1024,0.1024,0.17724794415708725,0.1024,203680.0,81056.0,69.0,0.0,23.0,49.0,0.0,1.0
114,75.6,12.85,0.565571421932247,0.1921929516622048,0.1024,0.4091310652364684,0.16793596208624098,387264.0,263488.0,581.0,183.0,25.0,256.0,173.0,1.0
115,67.6,9.7,0.15487718863980784,0.20103362629533755,0.1024,0.24282866745975348,0.1024,346496.0,199232.0,159.0,149.0,73.0,129.0,52.0,1.0
116,49.2,3.4,0.14806629407410293,0.1024,0.1024,0.25629342015227985,0.1024,252128.0,70400.0,151.0,36.0,0.0,106.0,0.0,1.0
