pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
0,44.2,3.75,0.1024,0.1024,0.10332518859176422,0.12368903653634912,0.29863706358303954,226464.0,77440.0,27.0,0.0,37.0,8.0,307.0,0.0
1,33.8,6.3,0.16793596208624098,0.4318172195108682,0.268082649250345,0.24282866745975348,0.3982389247263045,173696.0,130016.0,173.0,419.0,276.0,224.0,409.0,0.0
2,37.8,3.55,0.11407092326346777,0.2028499741235547,0.24065434466442132,0.13903125935157085,0.38416580623817104,194016.0,73088.0,117.0,170.0,198.0,102.0,397.0,0.0
3,35.8,5.05,0.19923354230667628,0.1024,0.22194095816380596,0.16643223934073492,0.46822673397445747,184064.0,103552.0,204.0,16.0,165.0,119.0,483.0,0.0
4,39.6,3.15,0.1024,0.1024,0.1024,0.23215000996264873,0.44763594881137564,203744.0,64992.0,84.0,0.0,31.0,105.0,463.0,0.0
5,62.4,51.15,0.7748296060314792,3.0680501667884688,0.9192316236260498,0.43571870745245805,0.5122933361229038,320480.0,1048544.0,816.0,3320.0,1312.0,792.0,529.0,0.0
6,57.0,4.6,0.1024,0.137786353469435,0.1494040796805694,0.1921929516622048,0.476725855350575,291968.0,94624.0,55.0,78.0,107.0,105.0,493.0,0.0
7,46.0,4.1,0.15487718863980784,0.1024,0.1024,0.24282866745975348,0.6357241453763843,236096.0,84896.0,159.0,0.0,20.0,108.0,657.0,0.0
8,50.6,5.35,0.1024,0.2539985320257652,0.1024,0.24723642585667988,0.41282758275690906,259296.0,109888.0,100.0,189.0,41.0,112.0,425.0,0.0
9,95.2,42.9,0.46403416449032375,2.779033017557214,0.8326379602565498,0.3946730361470061,0.6023254401225595,488224.0,879392.0,490.0,2975.0,1179.0,700.0,622.0,0.0
10,32.0,43.8,0.23424749571260373,1.8707627191715064,0.48537925041276075,0.26330324207274547,0.3607239323108456,164672.0,897856.0,250.0,1945.0,681.0,369.0,371.0,0.0
11,31.8,6.0,0.11203725420310383,0.1024,0.1534903960289547,0.22194095816380596,0.3267429356164207,162912.0,123456.0,114.0,0.0,107.0,138.0,337.0,0.0
12,34.0,4.0,0.16643223934073492,0.3511205164620939,0.2609455869930851,0.1024,0.3296950726913412,174976.0,82080.0,172.0,334.0,225.0,55.0,339.0,0.0
13,35.2,5.45,0.1788493872806009,0.46403416449032375,0.26330324207274547,0.1024,0.36727169274724036,180480.0,112032.0,185.0,453.0,241.0,52.0,380.0,0.0
14,76.4,41.15,0.540699797143687,1.4940407968056941,0.7210347678574682,0.2300713054016148,0.5310601412442039,391680.0,843104.0,563.0,1636.0,871.0,469.0,548.0,0.0
15,32.2,3.95,0.12039611043028081,0.1921929516622048,0.12039611043028081,0.1740879481674622,0.4018370312688165,165664.0,81856.0,123.0,138.0,80.0,69.0,416.0,0.0
16,51.8,5.1,0.14283387109577214,0.3267429356164207,0.15627651098408582,0.2933129289209221,0.6414679415366508,265920.0,105216.0,147.0,288.0,158.0,212.0,662.0,0.0
17,38.8,4.4,0.1024,0.1024,0.1921929516622048,0.22801121386003648,0.540699797143687,199104.0,90464.0,63.0,24.0,151.0,165.0,559.0,0.0
18,36.4,3.6,0.1494040796805694,0.16055079360788177,0.24282866745975348,0.1024,0.596932131546734,187232.0,74560.0,153.0,131.0,181.0,32.0,618.0,0.0
19,43.6,4.95,0.14412438152599996,0.1024,0.11103405652348632,0.18374105541112293,0.5310601412442039,223936.0,101792.0,147.0,1.0,56.0,75.0,547.0,0.0
20,82.0,50.85,0.6590125825000742,1.7098428893650555,0.8947592702491824,0.1024,0.5758375169949175,419968.0,1041408.0,687.0,1910.0,1023.0,294.0,596.0,0.0
21,38.0,2.65,0.1534903960289547,0.1024,0.2586090426959236,0.14806629407410293,0.3876367615240837,195488.0,54336.0,157.0,0.0,196.0,121.0,398.0,0.0
22,35.6,3.05,0.1634650669350853,0.17724794415708725,0.14806629407410293,0.27790330175572137,0.38416580623817104,183264.0,63136.0,167.0,133.0,128.0,192.0,396.0,0.0
23,37.8,3.4,0.1024,0.1024,0.19923354230667628,0.11103405652348632,0.4091310652364684,194240.0,70208.0,0.0,0.0,132.0,49.0,422.0,0.0
24,78.4,44.8,0.6300317799926142,2.8294772515375515,0.8947592702491824,0.2102809627092118,0.43571870745245805,402368.0,918304.0,663.0,3059.0,1207.0,545.0,450.0,0.0
25,30.2,6.75,0.1854011640859773,0.3807259303848422,0.21603230857279196,0.2656821986717712,0.3911390770466473,154976.0,138560.0,191.0,357.0,220.0,218.0,405.0,0.0
26,29.4,5.7,0.11931806635041005,0.48103309483074475,0.3238172324012421,0.1024,0.5358582934338506,150656.0,117216.0,124.0,473.0,310.0,107.0,553.0,0.0
27,31.6,4.25,0.12148389468675426,0.3387124861943804,0.20103362629533755,0.23215000996264873,0.4318172195108682,161920.0,87264.0,125.0,305.0,193.0,175.0,445.0,0.0
28,38.0,2.6,0.1024,0.1024,0.21995366692014168,0.20653205040438585,0.37731685567439016,195424.0,53312.0,29.0,7.0,172.0,158.0,389.0,0.0
29,42.6,2.85,0.137786353469435,0.12258150712276275,0.1024,0.26330324207274547,0.46822673397445747,218592.0,58624.0,141.0,64.0,58.0,144.0,481.0,0.0
