pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
0,47.0,4.5,0.16055079360788177,0.12822012816031303,0.15211602095849217,0.2586090426959236,0.4018370312688165,241280.0,92192.0,164.0,84.0,123.0,175.0,413.0,0.0
1,78.8,17.4,0.30957701376212127,0.19392942359868295,0.1788493872806009,0.18046529951454654,0.36727169274724036,403712.0,356800.0,319.0,177.0,142.0,109.0,378.0,0.0
2,44.0,6.45,0.20468273273584747,0.4598791358760376,0.16055079360788177,0.28294772515375516,0.3542929060730811,225824.0,132544.0,212.0,434.0,176.0,203.0,364.0,0.0
3,42.4,8.8,0.20468273273584747,0.7748296060314792,0.4018370312688165,0.23636393234036387,0.5810402347823543,218048.0,180608.0,214.0,800.0,453.0,293.0,600.0,0.0
4,37.4,4.85,0.1024,1.0807803912996896,0.3356796059026902,0.16643223934073492,0.3607239323108456,192128.0,99584.0,102.0,1087.0,409.0,184.0,373.0,0.0
5,90.6,50.6,0.6649667907340404,0.1317270471615462,0.4091310652364684,0.16643223934073492,0.3911390770466473,464672.0,1036608.0,684.0,199.0,367.0,225.0,403.0,0.0
6,34.8,6.7,0.1820958115879857,1.4940407968056941,0.455761311985254,0.28808371352153866,0.4091310652364684,178208.0,137248.0,193.0,1551.0,611.0,378.0,421.0,0.0
7,32.4,8.2,0.13054754424534865,1.5911319872255731,0.46822673397445747,0.2028499741235547,0.4318172195108682,166432.0,168576.0,141.0,1645.0,616.0,296.0,447.0,0.0
8,31.8,4.4,0.1024,0.3479765328837181,0.16945327103418178,0.22801121386003648,0.49418971949403295,162848.0,91008.0,81.0,301.0,160.0,153.0,511.0,0.0
