pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
0,48.2,3.15,0.1024,2.779033017557214,0.7145785188965031,0.16945327103418178,0.3574939583664581,246784.0,65440.0,55.0,2909.0,1010.0,402.0,368.0,0.0
1,35.8,4.5,0.1024,7.748296060314792,1.9744957652881368,0.16494198114485398,0.36727169274724036,183712.0,92896.0,100.0,8271.0,2916.0,1108.0,380.0,0.0
2,28.8,8.2,0.27294881089701023,0.2906865627912965,0.1024,0.2539985320257652,0.41282758275690906,147616.0,168512.0,280.0,249.0,37.0,113.0,425.0,0.0
3,86.0,35.65,0.3542929060730811,0.17724794415708725,0.19392942359868295,0.22801121386003648,0.49418971949403295,440992.0,731104.0,365.0,168.0,166.0,168.0,508.0,0.0
4,52.6,3.8,0.11203725420310383,0.1024,0.21603230857279196,0.24065434466442132,0.6300317799926142,270112.0,78112.0,114.0,48.0,180.0,193.0,649.0,0.0
5,44.4,5.85,0.22194095816380596,5.358582934338505,1.4155491608144892,0.17724794415708725,0.4986547457698438,227328.0,120128.0,254.0,5699.0,2045.0,804.0,513.0,0.0
6,80.6,33.2,0.36727169274724036,0.27790330175572137,0.2804141705486706,0.14412438152599996,0.49418971949403295,413472.0,680576.0,379.0,288.0,249.0,129.0,509.0,0.0
7,100.8,34.35,0.3238172324012421,0.19047202834506569,0.19923354230667628,0.2517241926574282,0.476725855350575,516896.0,703872.0,332.0,177.0,176.0,193.0,490.0,0.0
8,85.6,42.55,0.5758375169949175,0.23424749571260373,0.23215000996264873,0.3356796059026902,0.4724571835118812,438912.0,872224.0,596.0,264.0,235.0,301.0,489.0,0.0
9,29.4,3.6,0.10425873630394183,5.758375169949175,1.2593420550714698,0.1820958115879857,0.4724571835118812,150560.0,74208.0,135.0,6064.0,1938.0,724.0,488.0,0.0
10,84.0,30.4,0.4598791358760376,0.27541491564288445,0.24282866745975348,0.34177276869550477,0.4318172195108682,430464.0,623104.0,475.0,293.0,252.0,311.0,447.0,0.0
11,53.2,4.75,0.1024,0.5505144293945164,0.1854011640859773,0.15211602095849217,0.3387124861943804,272672.0,97984.0,81.0,514.0,186.0,84.0,348.0,0.0
12,87.8,35.7,0.12368903653634912,0.16200137722745894,0.17098428893650555,0.19744957652881365,0.516921929386749,449536.0,731520.0,127.0,116.0,133.0,123.0,535.0,0.0
13,39.6,3.85,0.18046529951454654,0.16793596208624098,0.12148389468675426,0.14155491608144893,0.42411873427091507,202784.0,79136.0,186.0,122.0,71.0,37.0,437.0,0.0
14,44.0,2.85,0.1024,0.1024,0.23424749571260373,0.21409792422694074,0.3911390770466473,225376.0,58784.0,90.0,23.0,189.0,174.0,402.0,0.0
15,40.2,5.2,0.2102809627092118,6.649667907340405,1.5211602095849217,0.16200137722745894,0.6590125825000742,205984.0,106624.0,250.0,7077.0,2321.0,853.0,677.0,0.0
16,79.4,27.0,0.5077061879485087,0.21603230857279196,0.3013352628438305,0.20839807674098557,0.42032111415670215,407264.0,553088.0,524.0,247.0,276.0,207.0,434.0,0.0
17,108.4,45.9,0.4018370312688165,0.1024,0.21798417016794858,0.22596956867426202,0.6357241453763843,555136.0,940448.0,413.0,98.0,179.0,177.0,653.0,0.0
18,72.2,48.55,0.5122933361229038,0.20839807674098557,0.2384994910679599,0.2656821986717712,0.4018370312688165,370496.0,994304.0,530.0,229.0,222.0,231.0,414.0,0.0
19,30.2,5.35,0.26330324207274547,5.122933361229038,1.3532988309140568,0.1024,0.4724571835118812,154752.0,109632.0,297.0,5454.0,1939.0,682.0,487.0,0.0
20,62.0,51.15,0.7818302262664546,0.6893264715924462,0.3607239323108456,0.3180441828991698,0.7018389338777684,318208.0,1048544.0,805.0,782.0,417.0,352.0,724.0,0.0
21,29.2,18.25,42.41187342709151,9.359172602526623,9.443733146669297,2.705047880075359,1.4283387109577215,149792.0,373920.0,43808.0,17024.0,11395.0,8000.0,1480.0,0.0
22,50.8,6.4,0.1024,3.296950726913412,0.8177935984348499,0.21798417016794858,0.4318172195108682,260480.0,131264.0,69.0,3441.0,1188.0,511.0,447.0,0.0
23,26.8,25.15,0.11931806635041005,0.12368903653634912,0.1024,0.2517241926574282,0.4516803596815303,137568.0,515200.0,122.0,55.0,9.0,107.0,467.0,0.0
24,100.2,26.3,0.27541491564288445,0.16643223934073492,0.16055079360788177,0.15487718863980784,0.476725855350575,513920.0,538656.0,283.0,140.0,114.0,73.0,493.0,0.0
25,46.2,5.65,0.1024,4.986547457698438,1.341181198643804,0.1024,0.455761311985254,237408.0,115840.0,108.0,5313.0,1905.0,619.0,469.0,0.0
26,47.0,5.9,0.27541491564288445,15.487718863980785,3.296950726913412,0.20839807674098557,0.46403416449032375,240736.0,121152.0,362.0,16497.0,5248.0,1910.0,478.0,0.0
