pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
0,38.4,4.45,0.4598791358760376,0.1024,0.2539985320257652,0.18707627191715065,0.540699797143687,196672.0,91776.0,472.0,89.0,206.0,159.0,560.0,0.0
1,32.4,4.25,0.2609455869930851,0.24065434466442132,0.14674048719226498,0.2384994910679599,0.46403416449032375,166560.0,87104.0,268.0,212.0,127.0,152.0,479.0,0.0
2,38.2,3.6,0.2609455869930851,0.1024,0.17566084058551082,0.19744957652881365,0.4091310652364684,196544.0,74624.0,268.0,74.0,130.0,125.0,423.0,0.0
3,48.6,3.55,15.768847626849197,0.1024,0.7081800801168278,0.1024,0.44362775217754097,249376.0,73216.0,16352.0,1877.0,593.0,252.0,459.0,0.0
4,62.0,18.2,0.44763594881137564,0.24723642585667988,0.2539985320257652,0.11719085064164587,0.46403416449032375,318272.0,373312.0,463.0,264.0,212.0,86.0,477.0,0.0
5,39.2,3.05,1.740879481674622,0.1024,0.2384994910679599,0.16055079360788177,0.42411873427091507,201344.0,63456.0,1794.0,134.0,169.0,122.0,437.0,0.0
6,59.2,7.25,0.9615153162728408,0.1024,0.1534903960289547,0.22394620467296977,0.37393830630895386,303168.0,148608.0,990.0,149.0,111.0,140.0,387.0,0.0
7,28.0,4.1,0.12148389468675426,0.12937860276781757,0.15211602095849217,0.1740879481674622,0.43965544551254854,143520.0,84128.0,124.0,79.0,105.0,87.0,452.0,0.0
8,35.8,4.0,0.516921929386749,0.1024,0.16793596208624098,0.26330324207274547,0.36727169274724036,183776.0,82432.0,531.0,93.0,135.0,188.0,377.0,0.0
9,46.2,7.7,0.48103309483074475,0.19744957652881365,0.268082649250345,0.26330324207274547,0.503160113758275,236640.0,158048.0,494.0,218.0,251.0,246.0,521.0,0.0
10,93.6,30.4,0.37731685567439016,0.3479765328837181,0.3068050166788469,0.3356796059026902,0.6132586838954456,479904.0,622944.0,388.0,367.0,325.0,341.0,630.0,0.0
11,34.0,3.8,0.268082649250345,0.1725291396542299,0.19568158463697313,0.18374105541112293,0.3296950726913412,174944.0,78720.0,276.0,151.0,157.0,122.0,339.0,0.0
12,99.4,51.15,0.27541491564288445,0.1024,0.19392942359868295,0.11824967523220054,0.4598791358760376,509664.0,1048544.0,282.0,45.0,128.0,53.0,474.0,0.0
13,69.8,25.0,0.840160881564159,0.2656821986717712,0.4018370312688165,0.18876651442269293,0.516921929386749,357856.0,512896.0,867.0,361.0,383.0,245.0,534.0,0.0
14,41.0,3.65,0.3238172324012421,0.1024,0.21995366692014168,0.1820958115879857,0.38416580623817104,210688.0,75264.0,332.0,54.0,169.0,134.0,397.0,0.0
15,81.4,51.15,0.586289959358298,0.49418971949403295,0.34177276869550477,0.2959630243862989,0.540699797143687,417120.0,1048544.0,604.0,553.0,372.0,322.0,556.0,0.0
16,60.6,45.25,0.6472636331527855,0.32091772635322535,0.2300713054016148,0.27294881089701023,0.540699797143687,311232.0,927584.0,665.0,361.0,228.0,232.0,556.0,0.0
17,34.6,3.85,0.20839807674098557,0.1353298830914057,0.17566084058551082,0.1634650669350853,0.4091310652364684,177824.0,79456.0,213.0,101.0,127.0,90.0,422.0,0.0
18,38.6,6.25,0.41282758275690906,0.1052007186615606,0.13655259465352437,0.2586090426959236,0.44362775217754097,197920.0,128512.0,425.0,92.0,104.0,167.0,459.0,0.0
19,112.2,45.65,0.7145785188965031,0.19568158463697313,0.42411873427091507,0.12148389468675426,0.540699797143687,575200.0,934912.0,737.0,275.0,382.0,187.0,556.0,0.0
20,44.8,4.75,0.5122933361229038,0.1024,0.16643223934073492,0.21603230857279196,0.3946730361470061,229536.0,97280.0,529.0,69.0,121.0,140.0,406.0,0.0
21,78.2,38.55,0.5915871154311907,0.42032111415670215,0.3013352628438305,0.4279506660531507,0.43965544551254854,401280.0,789824.0,613.0,469.0,348.0,435.0,452.0,0.0
22,51.8,6.0,4.76725855350575,0.1317270471615462,0.33267388245711177,0.11304951581874152,0.37059000896020594,265792.0,123552.0,4939.0,753.0,277.0,126.0,382.0,0.0
23,50.2,3.45,0.36398308921465733,0.14674048719226498,0.2102809627092118,0.1317270471615462,0.503160113758275,257664.0,71072.0,376.0,140.0,158.0,77.0,520.0,0.0
24,64.8,5.1,0.455761311985254,0.11003984162010291,0.10807803912996895,0.23636393234036387,0.46822673397445747,332224.0,104672.0,468.0,98.0,70.0,127.0,481.0,0.0
25,70.0,19.15,0.2959630243862989,0.1024,0.2300713054016148,0.21218086063659222,0.48103309483074475,359264.0,392800.0,303.0,83.0,188.0,170.0,496.0,0.0
26,28.4,1.9,0.1024,0.10905452905988393,0.2300713054016148,0.1024,0.476725855350575,146112.0,39840.0,47.0,61.0,162.0,33.0,491.0,0.0
27,31.8,5.35,0.18707627191715065,0.16200137722745894,0.1402874130141752,0.22801121386003648,0.586289959358298,163488.0,109824.0,192.0,120.0,107.0,135.0,604.0,0.0
28,48.8,3.6,0.2102809627092118,0.1024,0.1024,0.18046529951454654,0.476725855350575,250688.0,74272.0,216.0,13.0,20.0,51.0,493.0,0.0
29,37.2,4.65,0.1024,0.1024,0.13291720693948222,0.1820958115879857,0.41282758275690906,191168.0,96096.0,76.0,20.0,81.0,85.0,425.0,0.0
