pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
37,42.0,5.05,0.1024,0.10615121187202028,0.10332518859176422,0.20839807674098557,0.1024,216032.0,103456.0,54.0,38.0,59.0,96.0,29.0,0.0
38,42.6,4.3,0.1402874130141752,0.14283387109577214,0.1788493872806009,0.17724794415708725,0.1024,218752.0,88608.0,144.0,100.0,134.0,106.0,81.0,0.0
39,47.0,10.05,1.46740487192265,0.1024,0.27050478800753586,0.15075395223997853,0.1024,240640.0,206304.0,1513.0,247.0,217.0,130.0,89.0,0.0
40,56.2,13.15,0.28550417053830485,0.21798417016794858,0.18046529951454654,0.28294772515375516,0.1024,288256.0,270016.0,293.0,199.0,168.0,217.0,0.0,0.0
41,79.8,5.95,6.414679415366509,0.1024,0.3387124861943804,0.14806629407410293,0.1024,408896.0,122624.0,6609.0,845.0,276.0,166.0,0.0,0.0
42,26.6,21.0,0.1024,0.1024,0.137786353469435,0.1353298830914057,0.20103362629533755,136608.0,430496.0,98.0,0.0,73.0,39.0,208.0,0.0
43,31.2,13.9,0.3267429356164207,0.16793596208624098,0.10807803912996895,0.2539985320257652,0.14806629407410293,159936.0,285440.0,335.0,140.0,81.0,145.0,152.0,0.0
44,50.2,11.05,0.5758375169949175,0.10332518859176422,0.2959630243862989,0.16793596208624098,0.1024,257568.0,227040.0,595.0,139.0,248.0,162.0,63.0,0.0
45,58.2,11.65,0.9702026502711044,0.22394620467296977,0.27294881089701023,0.27050478800753586,0.1024,298624.0,239552.0,997.0,313.0,262.0,257.0,105.0,0.0
46,36.4,4.15,0.1024,0.1024,0.19047202834506569,0.20103362629533755,0.1024,186720.0,85152.0,57.0,33.0,144.0,136.0,27.0,0.0
47,50.2,5.35,0.12822012816031303,0.15627651098408582,0.1024,0.2656821986717712,0.1024,257824.0,109760.0,131.0,95.0,45.0,137.0,64.0,0.0
48,41.4,3.85,0.1024,0.11719085064164587,0.1024,0.2539985320257652,0.1024,212352.0,79488.0,13.0,36.0,19.0,114.0,76.0,0.0
49,34.8,6.8,0.1024,0.15075395223997853,0.12148389468675426,0.21995366692014168,0.1024,178976.0,139424.0,19.0,82.0,85.0,117.0,0.0,0.0
50,39.0,3.6,0.1024,0.1024,0.19744957652881365,0.1024,0.1024,200576.0,74144.0,60.0,0.0,126.0,36.0,91.0,0.0
51,88.0,12.3,10.148309567988335,0.1024,0.4598791358760376,0.22596956867426202,0.1024,451488.0,252608.0,10437.0,1299.0,408.0,316.0,51.0,0.0
52,57.0,15.55,0.4598791358760376,0.3040578404559338,0.28808371352153866,0.2609455869930851,0.1024,292000.0,319040.0,474.0,328.0,284.0,253.0,89.0,0.0
53,54.0,7.3,2.2596956867426203,0.1494040796805694,0.23424749571260373,0.15487718863980784,0.1024,276672.0,150144.0,2327.0,407.0,187.0,114.0,44.0,0.0
54,67.8,15.25,0.9192316236260498,0.137786353469435,0.2102809627092118,0.24065434466442132,0.1024,347232.0,312928.0,946.0,207.0,180.0,189.0,0.0,0.0
55,52.6,6.9,0.13655259465352437,0.1024,0.14806629407410293,0.24282866745975348,0.1024,269472.0,141472.0,139.0,0.0,105.0,156.0,0.0,0.0
56,48.8,3.8,0.15487718863980784,0.1024,0.1024,0.32091772635322535,0.1024,250080.0,78208.0,158.0,17.0,36.0,188.0,37.0,0.0
57,38.6,2.5,0.1024,0.15075395223997853,0.1854011640859773,0.19047202834506569,0.1024,197664.0,51424.0,37.0,95.0,145.0,123.0,24.0,0.0
58,54.2,6.75,0.14806629407410293,0.11203725420310383,0.1270720267009761,0.27050478800753586,0.1024,278048.0,138656.0,151.0,61.0,97.0,172.0,105.0,0.0
59,102.6,33.45,0.44763594881137564,0.2102809627092118,0.1024,0.3807259303848422,0.11510155917025851,525344.0,685088.0,460.0,192.0,69.0,253.0,119.0,0.0
60,35.2,3.5,0.1024,0.22801121386003648,0.1024,0.29863706358303954,0.1024,180704.0,72192.0,55.0,163.0,85.0,185.0,44.0,0.0
61,59.4,6.75,0.5455850440566417,0.14412438152599996,0.14806629407410293,0.19047202834506569,0.1024,304480.0,138240.0,563.0,152.0,105.0,101.0,80.0,0.0
62,49.6,8.0,0.4516803596815303,0.1024,0.19568158463697313,0.16945327103418178,0.1024,254304.0,164608.0,464.0,93.0,144.0,108.0,0.0,0.0
63,42.6,3.8,0.1024,0.10711029283125797,0.16494198114485398,0.18374105541112293,0.1353298830914057,218112.0,78208.0,86.0,54.0,117.0,105.0,139.0,0.0
64,112.8,27.8,0.24947021805073416,0.11407092326346777,0.23636393234036387,0.1317270471615462,0.10332518859176422,578528.0,569952.0,256.0,95.0,181.0,92.0,106.0,0.0
65,46.6,3.15,0.1024,0.1024,0.1024,0.2300713054016148,0.1024,238624.0,65440.0,30.0,0.0,47.0,110.0,31.0,0.0
66,50.4,4.25,0.10905452905988393,0.1024,0.1534903960289547,0.17566084058551082,0.1024,258880.0,87744.0,111.0,20.0,100.0,90.0,14.0,1.0
67,50.0,6.95,0.1024,0.1024,0.12937860276781757,0.21798417016794858,0.1024,256128.0,142848.0,1.0,0.0,83.0,119.0,0.0,1.0
68,70.6,5.3,8.55411248084814,0.1024,0.6357241453763843,0.1024,0.16055079360788177,362080.0,109344.0,8837.0,1100.0,528.0,130.0,166.0,1.0
69,52.2,6.1,1.4412438152599998,0.10905452905988393,0.19392942359868295,0.1341181198643804,0.1024,267488.0,125504.0,1492.0,247.0,137.0,70.0,0.0,1.0
70,71.6,8.35,0.9275369225651877,0.1024,0.13903125935157085,0.3013352628438305,0.1024,367072.0,171520.0,953.0,145.0,112.0,210.0,79.0,1.0
71,51.0,6.65,0.13903125935157085,0.15911319872255733,0.1024,0.37059000896020594,0.1024,261504.0,137152.0,142.0,100.0,78.0,252.0,87.0,1.0
72,80.6,6.0,0.20103362629533755,0.1052007186615606,0.22194095816380596,0.17566084058551082,0.15075395223997853,412864.0,123008.0,207.0,77.0,174.0,128.0,156.0,1.0
73,41.8,6.75,0.1024,0.12822012816031303,0.1317270471615462,0.11304951581874152,0.1024,214400.0,138656.0,99.0,72.0,71.0,13.0,20.0,1.0
74,44.8,7.35,0.1024,0.12148389468675426,0.22596956867426202,0.1353298830914057,0.1024,229728.0,151264.0,13.0,69.0,172.0,90.0,76.0,1.0
75,48.0,9.2,0.21603230857279196,0.20653205040438585,0.13655259465352437,0.2539985320257652,0.11407092326346777,246496.0,188672.0,223.0,169.0,115.0,162.0,117.0,1.0
76,86.4,10.75,9.359172602526623,0.15075395223997853,0.4279506660531507,0.15487718863980784,0.1024,442464.0,220544.0,9702.0,1422.0,387.0,224.0,0.0,1.0
77,52.2,8.4,2.2394620467296975,0.1024,0.3068050166788469,0.2586090426959236,0.1024,267616.0,172416.0,2312.0,357.0,276.0,261.0,100.0,1.0
78,91.6,14.15,27.541491564288446,0.1024,1.2258150712276275,0.1024,0.11304951581874152,469376.0,290336.0,28384.0,3431.0,1102.0,495.0,116.0,1.0
79,43.0,4.45,0.14283387109577214,0.1024,0.14542655177583327,0.28294772515375516,0.1024,221024.0,91840.0,146.0,47.0,117.0,196.0,101.0,1.0
80,43.2,5.95,0.41282758275690906,0.17724794415708725,0.1024,0.3807259303848422,0.1024,222112.0,122560.0,426.0,151.0,46.0,242.0,34.0,1.0
81,56.8,10.05,1.1304951581874152,0.1024,0.19568158463697313,0.28550417053830485,0.1024,290912.0,206688.0,1161.0,137.0,163.0,228.0,0.0,1.0
82,44.2,5.85,0.6955545671736807,0.12039611043028081,0.2539985320257652,0.18046529951454654,0.1024,226976.0,120608.0,715.0,166.0,209.0,151.0,0.0,1.0
83,49.2,3.95,0.13903125935157085,0.14806629407410293,0.1024,0.30957701376212127,0.16055079360788177,252704.0,81408.0,143.0,89.0,60.0,186.0,166.0,1.0
84,46.6,6.2,0.12368903653634912,0.14674048719226498,0.11304951581874152,0.22394620467296977,0.1024,238848.0,127648.0,127.0,91.0,77.0,116.0,28.0,1.0
85,66.2,25.35,1.6643223934073492,0.20653205040438585,0.3267429356164207,0.34177276869550477,0.1024,339328.0,519424.0,1716.0,401.0,330.0,361.0,93.0,1.0
