,0,1,2,3,4,5,6
0,249,98,0,588,412,0,74
1,147,87,0,164,65,9,23
2,150,77,0,36,0,43,25
3,401,583,70,13,20,82,46
4,129,76,0,0,55,0,0
5,150,71,0,68,25,52,0
6,125,81,0,63,31,119,26
7,143,60,23,0,89,91,0
8,299,1023,0,0,0,79,79
9,190,60,0,74,0,97,0
10,605,803,65,34,16,96,106
11,126,73,0,6,0,89,0
12,523,1023,99,6,0,59,35
13,414,1023,167,142,140,114,142
14,158,73,0,0,35,83,59
15,149,54,0,23,77,77,0
16,164,83,53,460,298,78,59
17,167,74,0,76,0,74,22
18,273,134,0,413,255,49,48
19,829,1023,261,162,164,114,17
20,229,82,47,563,396,0,92
21,167,91,0,44,0,99,0
22,239,73,0,0,21,33,81
23,161,104,0,0,0,91,61
24,258,1023,14,69,80,66,59
25,139,46,14,0,0,40,0
26,383,881,66,68,46,95,0
27,149,69,5,394,249,66,99
28,383,604,0,6,80,87,0
29,459,773,0,23,9,63,0
30,245,86,0,518,351,22,0
31,173,61,0,93,0,87,78
32,186,87,0,0,13,70,1
33,125,73,63,57,120,14,50
34,284,137,95,604,432,0,29
35,317,667,72,0,103,56,0
36,135,440,0,0,0,48,43
37,159,66,4,0,69,51,49
38,367,701,92,0,81,132,0
39,364,850,46,115,67,111,79
40,611,1023,114,0,76,40,106
41,149,80,42,75,16,77,41
42,421,1023,84,53,95,82,0
43,410,743,66,52,8,97,23
44,435,741,26,64,68,88,0
45,251,68,0,532,371,0,87
46,185,67,0,532,364,0,0
47,130,65,34,25,16,87,46
48,112,185,0,0,45,36,13
49,199,89,8,0,73,104,0
50,276,132,56,0,38,67,0
51,205,74,0,0,65,20,107
52,256,69,135,478,323,0,71
53,147,79,0,0,37,44,86
54,158,55,40,59,88,101,101
55,414,313,114,19,12,79,0
56,500,735,35,0,34,66,0
57,746,948,253,141,163,106,59
58,215,511,30,33,77,0,13
59,186,71,0,0,34,50,51
60,391,697,83,129,84,96,0
61,435,842,433,376,355,337,274
62,463,996,2,112,62,94,31
63,150,51,0,73,23,34,0
64,418,675,50,30,86,82,34
65,467,941,107,17,142,23,28
66,526,1023,150,101,79,22,53
67,197,63,4,469,325,0,117
68,488,551,73,0,33,60,12
69,315,908,65,219,71,105,97
70,163,68,0,48,0,85,7
71,160,86,0,602,428,0,90
72,451,980,62,0,40,114,12
73,139,233,0,0,52,0,0
74,415,575,89,61,115,103,69
75,402,509,0,53,47,59,0
76,110,201,0,29,0,81,29
77,197,69,0,2,62,0,104
78,157,59,0,0,4,61,43
79,170,52,0,0,50,20,66
80,116,250,0,0,53,7,0
81,160,55,0,52,0,107,73
82,387,689,14,30,71,71,0
83,195,84,0,52,32,25,22
84,128,110,0,151,75,29,0
85,205,428,0,8,57,38,0
86,399,185,90,103,37,69,0
87,134,51,0,42,22,75,45
88,164,795,0,78,7,43,0
89,127,70,0,65,20,89,43
90,375,543,58,57,47,67,0
91,666,1023,191,147,59,140,155
92,228,93,0,485,319,0,0
93,525,1023,195,77,116,105,35
94,127,76,0,0,0,86,13
95,164,154,4,98,76,80,0
96,128,93,28,0,8,38,84
97,241,81,18,545,374,90,103
98,517,1023,92,0,44,56,32
99,128,81,17,0,0,86,0
100,426,490,37,49,65,72,0
101,285,1023,0,22,0,80,11
102,207,77,92,419,278,99,0
103,262,66,33,335,204,105,22
104,154,77,0,63,0,101,50
105,128,70,0,69,55,51,104
106,444,530,151,96,98,12,0
107,147,92,0,0,0,90,0
108,146,62,0,0,68,84,0
109,373,700,10,43,41,104,13
110,175,87,38,23,97,64,42
111,198,53,0,575,408,0,84
112,362,696,0,36,0,125,23
113,147,66,0,0,0,90,0
114,383,966,28,1,67,67,50
115,150,61,0,0,0,71,18
116,167,61,0,0,83,0,21
117,247,69,33,482,313,64,74
118,458,1015,53,78,86,69,0
119,165,93,0,0,77,0,92
120,368,852,116,17,119,0,0
121,171,85,0,3,0,33,0
122,149,63,0,469,306,21,38
123,163,92,21,24,54,76,34
124,221,71,62,445,289,93,30
125,390,881,51,105,79,87,32
126,204,67,42,481,332,0,104
127,128,68,46,46,49,0,102
128,196,66,0,480,300,125,0
129,394,658,0,102,0,85,0
130,140,58,0,0,0,99,13
131,443,1023,81,70,109,78,78
132,383,506,82,79,82,53,21
133,144,65,0,0,0,27,0
134,134,72,0,95,31,120,0
135,130,80,0,43,36,104,26
136,179,74,0,59,57,86,138
137,253,81,65,538,372,75,71
138,593,1023,230,165,154,94,65
139,179,72,77,558,397,0,141
140,224,80,52,516,359,10,64
141,484,993,94,44,75,95,0
142,162,81,0,38,27,76,95
143,497,655,28,63,53,63,0
144,135,381,0,0,0,68,82
145,232,147,110,530,370,16,114
146,241,62,105,534,362,68,79
147,386,517,0,67,65,32,90
148,137,62,0,0,69,31,0
149,445,801,72,36,93,6,67
150,210,67,0,462,302,131,61
151,282,88,96,543,383,0,26
152,244,88,0,553,390,0,64
153,149,65,0,0,72,0,23
154,157,78,18,203,98,107,48
155,136,80,0,29,0,85,74
156,142,110,12,109,0,40,0
157,137,107,5,65,58,77,0
158,170,179,0,105,60,66,0
159,139,60,0,0,0,53,0
160,114,164,0,39,0,129,1
161,166,141,50,22,35,82,54
162,138,78,0,0,0,52,0
163,143,434,0,0,0,78,24
164,241,1023,33,0,23,92,93
165,220,93,23,351,216,29,0
166,405,997,55,81,43,65,4
167,694,275,132,76,97,72,51
168,1008,1023,327,514,369,234,277
169,246,697,355,252,339,209,306
170,352,660,14,61,36,128,56
171,249,842,16,60,16,101,35
172,341,706,45,0,82,72,21
173,160,51,0,0,12,33,0
174,475,1023,132,0,92,44,0
175,159,63,0,5,12,69,108
176,246,127,106,526,361,67,104
177,124,75,0,0,38,81,0
178,192,55,0,459,296,34,104
179,209,139,58,35,0,94,84
180,124,81,0,42,48,80,49
181,154,322,0,0,48,50,74
182,425,1023,82,92,89,61,106
183,199,63,0,549,384,0,128
184,399,692,27,0,68,88,90
185,228,90,0,315,171,21,0
186,382,1023,101,41,126,29,3
187,212,69,58,497,334,26,109
188,155,73,0,134,105,0,35
189,520,721,37,43,0,55,0
190,234,103,74,503,331,83,57
191,255,108,25,461,306,0,52
192,213,102,0,85,50,76,0
193,401,777,24,0,63,67,22
194,159,79,0,76,0,102,65
195,187,105,0,90,0,66,44
196,149,96,0,38,0,72,0
197,733,1005,258,145,131,115,0
198,171,74,0,481,336,0,65
199,144,230,0,0,0,73,55
200,120,66,0,31,77,0,0
201,130,70,0,0,31,55,150
202,164,65,0,0,0,64,5
203,162,64,0,8,39,10,84
204,243,65,75,550,389,0,161
205,204,88,74,563,400,0,90
206,431,686,83,0,63,59,61
207,162,63,19,0,57,7,23
208,405,687,16,45,102,47,32
209,118,258,0,96,0,100,144
210,160,53,0,63,20,84,11
211,191,79,0,202,71,38,0
212,161,70,0,95,58,35,51
213,209,80,0,22,39,74,0
214,205,89,52,431,249,69,109
215,442,746,43,20,46,93,11
216,153,86,0,43,25,112,48
217,159,65,0,58,52,45,0
218,144,72,37,69,72,98,97
219,135,109,0,58,59,92,27
220,162,253,0,27,35,68,66
221,148,80,0,0,75,58,97
222,114,214,0,52,30,21,15
223,138,72,4,46,89,38,102
224,196,61,0,323,192,0,0
225,157,181,16,44,54,75,0
226,161,56,0,70,10,53,0
227,348,1023,120,8,102,74,0
228,241,610,73,37,24,73,60
229,418,187,87,0,128,0,0
230,129,80,0,36,84,7,0
231,158,102,0,25,90,0,74
232,199,116,24,369,210,110,0
233,436,533,30,80,74,60,42
234,485,831,88,55,112,102,69
235,201,90,0,564,407,0,39
236,446,807,67,46,95,44,73
237,128,127,24,54,0,25,7
238,408,766,90,0,9,77,31
239,408,854,73,55,105,106,31
240,255,75,105,544,387,0,0
241,334,192,16,120,0,98,20
242,149,513,19,0,39,80,49
243,162,62,0,0,66,0,16
244,123,69,0,84,25,57,65
245,140,66,0,0,9,58,0
246,148,76,0,0,0,76,50
247,184,60,27,512,357,0,112
248,195,61,44,435,284,73,80
249,211,215,28,446,290,69,59
250,136,256,0,0,7,11,0
251,146,67,0,0,74,0,74
252,283,219,10,0,89,25,102
253,149,98,0,70,44,48,11
254,219,64,25,445,297,0,35
255,210,72,10,544,372,99,130
256,136,57,0,135,10,51,125
257,359,1023,38,3,68,0,36
258,286,606,20,0,67,101,0
259,373,690,136,26,163,109,92
260,470,671,45,7,0,60,22
261,177,75,0,73,26,100,34
262,341,658,0,41,0,92,3
263,194,71,0,417,271,0,26
264,334,743,0,68,64,79,0
265,198,67,0,466,293,113,69
266,386,484,0,72,2,33,88
267,161,68,7,0,55,37,15
268,118,560,0,0,0,49,31
269,127,240,0,0,0,73,0
270,391,1023,133,106,98,51,0
271,384,721,0,27,47,70,0
272,240,107,0,0,0,107,0
273,193,82,0,514,353,0,76
274,469,955,109,0,41,75,0
275,142,56,0,74,94,54,89
276,365,633,30,0,77,36,0
277,399,915,144,3,23,108,0
278,135,76,0,0,76,36,108
279,377,665,115,62,85,0,49
280,370,914,0,105,0,103,13
281,141,76,0,0,24,83,0
