,0,1,2,3,4,5,6
0,238,118,328,0,59,93,41
1,435,294,171,96,107,55,72
2,168,85,0,66,25,72,113
3,120,289,0,0,0,27,20
4,170,90,33,0,58,64,59
5,514,426,106,78,68,94,1
6,381,611,0,97,22,65,0
7,412,903,32,74,18,66,0
8,404,649,58,51,61,94,30
9,416,413,49,75,138,90,128
10,192,67,0,1,21,65,64
11,130,107,0,12,65,3,59
12,155,51,52,0,29,93,0
13,188,120,40,4,91,45,69
14,387,393,0,124,71,69,102
15,191,51,20,29,52,64,0
16,154,566,0,0,62,21,57
17,191,94,84,13,74,30,0
18,149,125,55,70,27,147,101
19,138,75,35,0,39,65,0
20,239,74,312,0,117,10,47
21,151,88,76,49,40,55,0
22,392,843,52,0,95,28,0
23,159,83,51,43,79,0,0
24,606,1023,40,0,77,0,119
25,156,66,0,36,62,77,29
26,179,518,74,12,110,0,0
27,175,99,0,0,66,38,53
28,164,86,50,38,43,29,135
29,192,75,0,39,46,58,77
30,148,78,29,0,89,49,0
31,463,760,50,0,81,66,54
32,140,89,44,0,64,44,0
33,379,680,0,7,81,0,0
34,144,89,0,82,74,80,70
35,180,77,0,0,44,71,0
36,314,152,45,37,59,74,7
37,139,92,0,58,24,86,0
38,121,77,0,0,37,48,89
39,188,60,370,0,77,81,0
40,453,769,86,67,70,85,43
41,155,54,0,50,45,61,89
42,234,91,360,0,82,80,0
43,139,128,68,52,94,117,45
44,222,69,213,0,68,50,0
45,179,55,0,0,54,57,0
46,488,728,137,0,37,86,78
47,133,102,0,39,62,33,10
48,142,117,0,0,56,48,0
49,128,553,0,0,0,78,87
50,425,566,34,108,0,80,24
51,566,741,171,69,61,121,106
52,218,74,211,62,65,141,0
53,200,63,0,42,0,98,0
54,421,997,144,108,98,88,83
55,146,78,84,0,57,77,57
56,219,110,0,39,20,82,0
57,146,666,0,0,13,7,0
58,246,69,217,0,102,78,70
59,179,57,0,59,73,31,0
60,200,85,0,70,71,0,67
61,164,61,0,0,0,88,0
62,241,73,363,0,100,73,114
63,155,61,61,0,0,93,45
64,459,545,0,38,18,7,38
65,167,74,0,4,13,22,0
66,190,93,0,21,30,86,66
67,209,60,233,0,90,27,0
68,184,65,285,18,64,66,79
69,965,1023,265,160,154,97,0
70,155,90,0,0,25,45,0
71,227,116,391,0,125,0,0
72,1019,1023,0,0,30,55,189
73,398,540,20,0,76,64,46
74,249,101,310,18,51,96,18
75,322,690,0,41,46,20,72
76,209,81,7,81,26,79,0
77,132,89,0,80,14,65,5
78,387,1000,94,103,20,111,73
79,186,89,0,81,75,0,0
80,163,93,0,21,59,52,0
81,309,989,135,108,60,93,114
82,222,89,361,6,68,73,73
83,190,110,6,29,75,59,50
84,166,83,0,19,35,54,0
85,204,74,0,5,67,32,11
86,147,109,0,36,21,86,47
87,369,1023,123,55,102,34,37
88,459,661,0,0,77,51,49
89,188,70,0,0,47,17,0
90,163,106,93,24,145,46,95
91,204,64,275,0,90,59,56
92,180,83,17,87,10,81,68
93,319,229,112,0,51,58,0
94,245,75,295,0,101,74,0
95,166,81,0,46,0,98,73
96,158,102,0,81,10,88,0
97,492,1023,187,64,94,0,0
98,130,61,128,6,171,24,148
99,156,152,69,0,48,30,44
100,184,68,96,57,0,107,13
101,155,157,55,60,40,61,0
102,481,888,80,54,25,17,144
103,510,1023,160,70,111,76,0
104,192,53,0,0,43,37,0
105,461,538,11,51,58,22,0
106,178,63,354,0,94,13,1
107,174,51,175,24,87,69,40
108,193,98,242,0,107,63,66
109,210,1023,0,0,0,119,49
110,236,886,0,21,33,16,78
111,127,79,13,1,56,72,0
112,138,65,71,14,112,26,108
113,165,63,0,46,0,86,0
114,172,115,0,0,40,114,38
115,290,107,284,0,48,95,7
116,418,369,0,37,2,121,30
117,192,106,0,46,0,102,23
118,356,316,110,72,29,55,0
119,160,212,142,58,76,102,36
120,367,645,61,34,0,115,0
121,167,95,0,52,27,78,55
122,413,693,51,75,61,116,40
123,175,95,287,0,63,71,89
124,156,61,335,0,1,91,0
125,129,224,0,0,68,56,0
126,169,63,95,49,19,107,0
127,214,58,262,7,53,106,0
128,146,74,22,79,63,23,0
129,235,69,357,0,109,52,15
130,144,60,0,0,24,41,0
131,536,1023,31,25,61,32,178
132,197,77,26,38,69,0,0
133,209,63,2,0,92,4,1
134,149,58,0,44,32,97,0
135,444,634,145,62,63,80,0
136,210,75,23,0,98,70,120
137,133,92,0,19,66,77,0
138,459,652,72,98,9,47,69
139,194,72,0,3,81,46,81
140,142,65,48,0,17,77,32
141,142,55,0,17,90,24,27
142,183,63,0,13,33,0,86
143,144,54,0,92,57,4,35
144,185,87,0,0,0,72,0
145,344,693,99,115,73,106,140
146,221,56,322,6,88,48,86
147,435,456,0,83,12,116,55
148,186,79,0,42,87,0,0
149,383,570,110,48,104,75,65
150,468,1023,102,30,87,89,4
151,407,732,55,63,125,27,67
152,200,79,0,28,0,139,0
153,242,762,0,23,0,85,0
154,167,68,0,0,0,108,0
155,337,366,95,85,67,55,84
156,185,75,0,0,40,113,54
157,175,67,32,0,8,88,84
158,147,87,0,24,14,116,61
159,149,75,57,35,0,85,99
160,222,76,386,0,90,19,0
161,153,794,150,148,84,63,106
162,171,87,0,10,0,88,0
163,177,79,0,39,48,65,84
164,410,857,57,73,27,92,79
165,160,81,0,13,21,68,64
166,146,257,0,44,36,97,74
167,401,693,124,27,101,127,68
168,129,62,0,64,84,38,0
169,141,84,0,65,11,77,26
170,525,1023,200,74,139,95,55
171,193,71,0,99,59,75,25
172,223,68,276,0,136,0,2
173,428,598,58,99,51,63,15
174,435,679,5,0,12,48,41
175,489,890,101,105,84,81,84
176,125,52,0,0,0,27,36
177,207,61,215,93,110,81,73
178,141,82,48,34,58,80,64
179,176,79,295,36,103,71,0
180,482,1014,118,95,100,109,0
181,152,88,0,68,0,68,132
182,182,73,0,87,11,116,56
183,215,96,274,59,60,100,37
184,127,76,0,44,57,68,62
185,157,62,0,27,41,83,0
186,471,553,18,108,84,62,108
187,443,845,82,38,110,44,89
188,141,140,67,0,78,99,11
189,167,74,130,29,0,126,57
190,173,75,19,15,73,77,139
191,134,125,72,0,2,81,0
192,406,769,62,0,107,110,0
193,161,63,29,89,10,53,0
194,142,55,0,70,0,67,57
195,144,61,72,0,65,17,65
196,197,76,321,27,76,113,0
197,318,222,91,0,38,84,21
198,553,573,46,43,12,74,0
199,166,51,12,0,78,42,62
200,269,631,96,48,79,92,13
201,150,51,0,0,37,52,0
202,411,950,224,19,69,124,70
203,198,103,22,62,54,69,0
204,348,669,100,105,78,38,51
205,192,68,0,0,71,34,0
206,185,66,0,71,26,75,0
207,191,95,0,87,0,88,0
208,205,118,208,0,60,81,0
209,177,81,18,0,0,114,50
210,167,141,0,0,49,79,79
211,480,1023,174,0,139,8,0
212,294,149,96,0,41,106,32
213,387,1023,0,84,29,110,67
214,190,87,0,94,0,89,35
215,523,980,141,22,44,120,10
216,452,566,75,77,75,135,88
217,426,767,117,106,16,92,0
218,149,68,0,0,24,17,0
219,425,321,126,81,0,76,0
220,169,58,0,76,10,79,38
221,128,83,0,49,70,0,91
222,207,73,29,79,51,91,69
223,428,472,72,83,104,74,0
224,163,64,0,0,0,70,86
225,235,86,287,101,54,106,7
226,571,983,99,58,71,76,157
227,342,865,158,7,31,84,100
228,363,1023,0,7,7,103,6
229,148,89,0,26,42,60,0
230,179,71,0,0,52,55,0
231,139,73,0,88,28,86,26
232,137,55,51,100,127,112,144
233,174,74,0,0,25,81,0
234,183,71,0,74,11,89,12
235,343,674,122,15,67,71,53
236,189,98,0,54,0,93,82
237,184,457,250,101,130,97,83
238,168,95,0,0,0,105,91
239,198,85,277,0,56,101,89
240,160,41,0,40,29,86,54
241,154,226,129,50,74,81,0
242,111,158,31,0,0,117,71
243,512,718,37,46,33,82,0
244,266,98,262,99,10,140,95
245,559,492,188,22,130,48,1
246,586,409,194,0,57,0,0
247,135,378,0,7,83,69,128
248,161,78,0,0,50,65,65
249,186,85,0,80,75,64,94
250,205,69,74,7,63,84,62
251,137,597,0,18,22,104,26
252,208,76,25,75,0,63,0
253,149,100,3,0,53,36,95
254,172,81,0,0,4,98,122
255,201,95,298,0,27,93,21
256,448,705,64,0,77,82,98
257,170,71,0,68,0,111,0
258,180,89,78,47,63,73,41
259,159,42,0,54,43,17,51
260,360,347,60,77,4,85,0
261,206,112,0,32,0,121,7
262,145,80,0,0,53,71,39
263,502,578,7,62,0,98,0
264,190,76,0,0,40,57,0
265,582,1023,154,80,62,127,133
266,243,90,361,0,106,17,8
267,152,84,0,13,0,101,0
268,213,66,308,0,33,117,19
269,211,913,283,184,215,134,92
270,211,46,218,0,42,19,44
271,164,59,0,67,46,111,85
272,229,96,316,46,73,63,0
273,165,88,4,0,71,33,62
274,179,91,0,21,60,18,0
275,158,74,19,53,0,108,0
276,193,1023,79,58,27,101,83
277,152,55,0,0,3,75,26
278,163,597,0,0,0,55,32
279,182,69,310,0,111,75,83
280,221,94,335,0,76,41,0
281,152,72,0,71,3,78,65
282,220,108,465,0,164,0,111
283,166,193,138,14,86,151,158
284,398,976,0,16,93,30,0
285,193,75,0,19,10,76,55
286,142,84,49,78,0,96,0
287,150,92,59,52,43,39,76
